param_key,binarize,graph_type,n_iterations,objective_function,resolution_parameter,seed,threshold,modularity,Parameters,MB-ARI,AL-ARI,MB-cls,AL-cls
CainCallisto,True,G,2,CPM,0.0023207944168063877,19210731,1,0.016438552057231395,27,-0.09434435558102476,-0.06706021715552227,0.046469884323893096,0.027522935779816515
WhitcombJoel,False,G,2,CPM,0.0038713184134056334,90388572,1,0.1106348436548089,28,-0.10515345985007495,-0.07047528776130246,0.06286507936507937,0.032857142857142856
MalaysiaBaltimore,True,G,2,CPM,0.0038713184134056334,74968922,1,0.10176353315961956,29,-0.10361047632798098,-0.07109911101013798,0.06577897700610041,0.0323791647114031
KingsleyRomano,False,G,2,CPM,0.006457748325074419,37847916,1,0.30060566081606244,30,-0.07338889056863332,-0.04815629874311424,0.08869590643274854,0.04842105263157895
BronxDeborah,True,G,2,CPM,0.006457748325074419,54328231,1,0.3207441343387325,31,-0.06901437722605575,-0.04559118396419054,0.09071942446043166,0.04964028776978417
SinologyDnieper,False,G,2,CPM,0.010772173450159416,83114787,1,0.449873637341938,32,-0.028838234262922344,0.005705026709499233,0.16246074472857783,0.15989269413072738
CatalinaYorktown,True,G,2,CPM,0.010772173450159416,83515890,1,0.4426294072675522,33,-0.021468974962450562,-0.008887354381628921,0.16246074472857783,0.1047296506524665
RungeManchester,False,G,2,CPM,0.017969068319023125,85829223,1,0.4814240935410257,34,-0.0020205377200930115,0.0008843867388770365,0.2659319196428571,0.20386095052144826
EurydiceWinslow,True,G,2,CPM,0.017969068319023125,6214914,1,0.487649977630131,35,0.00686741140294906,0.009459460745776575,0.3051224226804124,0.30493362842645677
LockwoodAngelica,False,G,2,CPM,0.02997421251594704,26633254,1,0.4809418501496008,36,0.01635646673208457,0.000526467603360024,0.4650930210772174,0.251578291160181
ThessalyEnid,True,G,2,CPM,0.02997421251594704,53423645,1,0.4713619612466,37,0.01271664435161039,0.0005629851480151661,0.4411831665486275,0.27154585157773686
McGillHarley,False,G,2,CPM,0.05,97301665,1,0.4274817872355556,38,0.00426849171337578,0.0016897675135676745,0.4937091627923675,0.4693766276550279
PomonaMavis,True,G,2,CPM,0.05,18461022,1,0.4247994351959908,39,0.0042827105834840375,0.0013045239971110967,0.4798122062917417,0.43952087007642565
ChristiansonBrindisi,False,G,2,CPM,0.0004999999999999999,39195728,2,0.005274379681859706,40,-0.05194432662770299,-0.04716845982694145,0.04816825396825397,0.026285714285714287
PamRaleigh,True,G,2,CPM,0.0004999999999999999,16332103,2,0.00537815849974777,41,-0.05260926795887262,-0.04758031116242104,0.04820180454949803,0.026305756767060616
MacedonPerkins,False,G,2,CPM,0.0008340502686000295,17134677,2,0.007110220299236583,42,-0.06192697685381169,-0.058255677399731726,0.05693737769080234,0.02700587084148728
DoraMichel,True,G,2,CPM,0.0008340502686000295,14018217,2,0.007110220299236583,43,-0.06192697685381169,-0.058255677399731726,0.05693737769080234,0.02700587084148728
ElizabethChester,False,G,2,CPM,0.0013912797011035626,95155483,2,0.011527451027969655,44,-0.07459798577983849,-0.06587956541684334,0.06234121329647803,0.02784503631961259
MukdenTucson,True,G,2,CPM,0.0013912797011035626,89042530,2,0.011527451027969655,45,-0.07459798577983849,-0.06587956541684334,0.06234121329647803,0.02784503631961259
CarrAlsatian,False,G,2,CPM,0.0023207944168063877,67187834,2,0.08734115035874293,46,-0.09480989979510539,-0.07315101658964367,0.0803085025563107,0.032018561484918794
AlabamianBlomberg,True,G,2,CPM,0.0023207944168063877,24678574,2,0.07075126771964815,47,-0.09539023173250835,-0.07383350445444649,0.07995677174666613,0.03179723502304147
LomeRangoon,False,G,2,CPM,0.0038713184134056334,7145375,2,0.2951873813415545,48,-0.07412118270486959,-0.051910342036174645,0.10458202672457192,0.047292666209732694
CeciliaIcelandic,True,G,2,CPM,0.0038713184134056334,24251671,2,0.28334173176270633,49,-0.08051509922248798,-0.05597528609152988,0.10142374447265817,0.04530531845042679
AdonisTutenkhamon,False,G,2,CPM,0.006457748325074419,66905491,2,0.3973706260160325,50,-0.043585899721110814,0.00699927430334197,0.14169463206339203,0.10577252084085681
EzekielRoxbury,True,G,2,CPM,0.006457748325074419,86240014,2,0.4596368510634992,51,-0.013323641313247848,0.0006490294757678483,0.17316712049012933,0.10810647199146498
LouLucas,False,G,2,CPM,0.010772173450159416,74600471,2,0.4610754295869784,52,-0.029203963286459644,0.008232456208647876,0.19797287189211968,0.2063581637054725
JuraMarcus,True,G,2,CPM,0.010772173450159416,40855805,2,0.4680234467137567,53,-0.023850084239154738,0.007745699740933728,0.21525982264634846,0.21743143757486555
BernardWaltham,False,G,2,CPM,0.017969068319023125,30994351,2,0.4774468817695968,54,-0.010699327756302853,0.001081219905020722,0.3113934236000415,0.24805944366752197
GhanaVietnam,True,G,2,CPM,0.017969068319023125,97937007,2,0.4774468817695968,55,-0.010699327756302853,0.001081219905020722,0.3113934236000415,0.24805944366752197
AmtrakAdolph,False,G,2,CPM,0.02997421251594704,67675395,2,0.4550078410621223,56,0.005687357988599743,0.0006861014311423338,0.5138233782591479,0.3918401490340303
CarolinaEratosthenes,True,G,2,CPM,0.02997421251594704,9481628,2,0.4608113882692869,57,0.007191570460535375,0.000224783912773243,0.49452898557608616,0.3669971057069115
PhilistineMonticello,False,G,2,CPM,0.05,86864635,2,0.4153457277775111,58,0.0020256141225721246,0.0005529748874688965,0.5436792379371955,0.5275974025974026
KauffmanWaltham,True,G,2,CPM,0.05,98458842,2,0.4207806923938496,59,0.0027412646372736034,0.0009622411207821645,0.5415226332562988,0.5136706883111716
MelBenares,False,G,2,CPM,0.0004999999999999999,52756141,3,0.004686206833803147,60,-0.05234338620425341,-0.053956889361951116,0.05710811883808642,0.02716535433070866
JoeBenjamin,True,G,2,CPM,0.0004999999999999999,15230236,3,0.004686206833803147,61,-0.05234338620425341,-0.053956889361951116,0.05710811883808642,0.02716535433070866
MannAllstate,False,G,2,CPM,0.0008340502686000295,70667366,3,0.011358754918716614,62,-0.06475886237372452,-0.0659899555988307,0.07054152575025072,0.0282671036460467
HolmesMassachusetts,True,G,2,CPM,0.0008340502686000295,93737706,3,0.011358754918716614,63,-0.06475886237372452,-0.0659899555988307,0.07054152575025072,0.0282671036460467
NicosiaAida,False,G,2,CPM,0.0013912797011035626,32245573,3,0.018779157489663124,64,-0.08092267436915779,-0.0727943108722519,0.07671186433209487,0.029626449119793903
TriassicFaustian,True,G,2,CPM,0.0013912797011035626,11526702,3,0.01984424337412283,65,-0.08272875914027536,-0.0733234398865569,0.07697486119946625,0.029792746113989636
GoodyearKong,False,G,2,CPM,0.0023207944168063877,18265212,3,0.12144555371727055,66,-0.09054372280486626,-0.07076947795888891,0.0979180323064364,0.035732780942516834
RushmorePalatine,True,G,2,CPM,0.0023207944168063877,78232795,3,0.12144555371727055,67,-0.09054372280486626,-0.07076947795888891,0.0979180323064364,0.035732780942516834
HippocratesWeyerhauser,False,G,2,CPM,0.0038713184134056334,34254100,3,0.32588134256416595,68,-0.07259057492328558,-0.052209366274866206,0.12839608705752498,0.053405572755417956
PuritanHyde,True,G,2,CPM,0.0038713184134056334,73531563,3,0.3380187591468401,69,-0.04465654855489909,-0.04373026791625064,0.18751025190946152,0.05480540111199365
ChileGalatia,False,G,2,CPM,0.006457748325074419,21655986,3,0.4799634926676203,70,-0.007903078131383284,-0.008348605906502183,0.22695606341290814,0.11313343361039138
LehmanWatanabe,True,G,2,CPM,0.006457748325074419,64056422,3,0.4832519462867103,71,-0.010870550683427918,-0.009571034582784958,0.23010949927187188,0.11646223012994977
MyersMillie,False,G,2,CPM,0.010772173450159416,10333281,3,0.4855453794480457,72,-0.013844608287416576,0.0037252593405972543,0.2900589442042937,0.22464123035847483
BorneoHurd,True,G,2,CPM,0.010772173450159416,47123796,3,0.4855453794480457,73,-0.013844608287416576,0.0037252593405972543,0.2900589442042937,0.22464123035847483
JewellGiuliano,False,G,2,CPM,0.017969068319023125,35405758,3,0.4788199004676129,74,0.0026149296300985243,0.0012815108604728013,0.44831053829243583,0.3599186276902334
EnglishmanIsadore,True,G,2,CPM,0.017969068319023125,44123396,3,0.4902367275995113,75,0.009603687414793149,-0.0019385131371400335,0.48588098494576865,0.2944151558739981
McDonnellSherwood,False,G,2,CPM,0.02997421251594704,82508965,3,0.4543687124399695,76,0.001657988157960464,0.0012782206925796658,0.5111850247106668,0.4959056311005336
TitoPakistani,True,G,2,CPM,0.02997421251594704,87940465,3,0.4543687124399695,77,0.001657988157960464,0.0012782206925796658,0.5111850247106668,0.4959056311005336
ReidShakespearean,False,G,2,CPM,0.05,75941915,3,0.41871867501430377,78,0.0010919112317309,0.0011068320581279906,0.572827484785145,0.6237605120414251
ZealandHellespont,True,G,2,CPM,0.05,79857069,3,0.4212373983917305,79,0.0012089849586669268,0.0002986658552679157,0.5637797731172766,0.5472003964266308
