,binarize,graph_type,res,threshold,seed,param_key,modularity
495,True,Gad,0.35,3,13461193,BermudaMs,0.47090848525699175
496,True,Gad,0.4,0,60802271,AlgonquianHarrison,0.39668544035692016
497,True,Gad,0.4,1,85449934,TransylvaniaDenebola,0.43692237986651095
498,True,Gad,0.4,2,65750172,LennoxDavidson,0.4606655995337959
499,True,Gad,0.4,3,58303585,SuzukiJudith,0.47665504180484725
500,True,Gad,0.45,0,55633628,ChopinGary,0.41298691160141476
501,True,Gad,0.45,1,28875673,LouisTopsy,0.4466756326041613
502,True,Gad,0.45,2,13084857,EdgertonFredholm,0.46804826361403185
503,True,Gad,0.45,3,25294409,AeschylusYost,0.4918638167640079
504,True,G,0.2,0,14657807,BerraDixie,0.3679562039734761
505,True,G,0.2,1,55234548,DurangoNantucket,0.39442155150902286
506,True,G,0.2,2,80641501,MormonPeoria,0.4158346319933058
507,True,G,0.2,3,60659058,DobbinEugene,0.4160674229238356
508,True,G,0.25,0,34064860,PeggySalem,0.3851413285586876
509,True,G,0.25,1,7699007,AlexisLynn,0.42693925414899236
510,True,G,0.25,2,64620434,McElroyMoroccan,0.43667201943906525
511,True,G,0.25,3,75768066,SutherlandVoss,0.4461231200656235
512,True,G,0.3,0,95906107,EverhartGimbel,0.39491221162566853
513,True,G,0.3,1,48036978,BurchTanganyika,0.441609923995993
514,True,G,0.3,2,39084689,PyongyangKeynes,0.4588294631023572
515,True,G,0.3,3,43884183,KeithSomalia,0.470123579715032
516,True,G,0.35,0,37587639,VenetoMcGee,0.4198777788877594
517,True,G,0.35,1,85392979,NoetherianClaude,0.4509666781566195
518,True,G,0.35,2,58338394,SheilaTrumbull,0.47359515436204797
519,True,G,0.35,3,11047558,PentateuchKenneth,0.49000633044370495
520,True,G,0.4,0,51183083,DaphneDugan,0.43265106029657846
521,True,G,0.4,1,60190603,ThurmanMarcy,0.4633544167398431
522,True,G,0.4,2,63112562,NortonAgamemnon,0.47139393843868377
523,True,G,0.4,3,76172454,KensingtonEhrlich,0.4992119982871043
524,True,G,0.45,0,17432311,CaribCornell,0.45157912352555624
525,True,G,0.45,1,59343369,AppletonNancy,0.47376676926977396
526,True,G,0.45,2,97405800,MauricioSegundo,0.4924563806496756
527,True,G,0.45,3,40447645,YorkshireDickerson,0.511321806625854
528,False,Gad,0.2,0,20303776,ReinholdOctavia,0.4103761720419149
529,False,Gad,0.2,1,22248323,PhelpsYellowknife,0.4286243680294591
530,False,Gad,0.2,2,25559850,BundooraRowley,0.4485163568224856
531,False,Gad,0.2,3,27134506,CoriolanusAida,0.4752729008819205
532,False,Gad,0.25,0,90765494,BroadwayMarlene,0.43252038566765033
533,False,Gad,0.25,1,36967204,FeldmanHanover,0.45131273275686035
534,False,Gad,0.25,2,48921764,MendelianLaredo,0.4697303830301342
535,False,Gad,0.25,3,13645091,NorseRaoul,0.48951947085046094
536,False,Gad,0.3,0,95223614,RhodeColette,0.45037174982586076
537,False,Gad,0.3,1,19446047,GustaveBrandt,0.4675245642036065
538,False,Gad,0.3,2,64137335,ZambiaCalgary,0.4959897154522103
539,False,Gad,0.3,3,69540438,ChablisGallagher,0.509250942036596
540,False,Gad,0.35,0,2799260,YaoundeSmithfield,0.46110335246017253
541,False,Gad,0.35,1,60837737,JustinianRena,0.48534175087098785
542,False,Gad,0.35,2,58918459,SophieToby,0.5034080941976675
543,False,Gad,0.35,3,66892636,RenaWeller,0.522377534657944
544,False,Gad,0.4,0,91398506,AlcottDolan,0.4741928783250403
545,False,Gad,0.4,1,5507907,LaurentianArchimedes,0.49099334791288685
546,False,Gad,0.4,2,60527578,WinnetkaAlice,0.5171352545198096
547,False,Gad,0.4,3,5414045,SherrillMukden,0.5266538914357654
548,False,Gad,0.45,0,27512344,WolffBerlioz,0.49180324158986605
549,False,Gad,0.45,1,44823292,EstoniaLevitt,0.5051559255346764
550,False,Gad,0.45,2,19256127,DuffyKatmandu,0.5202882934670949
551,False,Gad,0.45,3,9087578,CarbondalePfizer,0.5385972501703641
552,False,G,0.2,0,13896450,GladstoneAyers,0.414212989684385
553,False,G,0.2,1,52885196,StetsonVreeland,0.41890364002990826
554,False,G,0.2,2,23266361,AndyJohanna,0.4496494735572905
555,False,G,0.2,3,96240805,SaviourMagnuson,0.4562288689021846
556,False,G,0.25,0,43306118,POBoxJohnson,0.43145692150936865
557,False,G,0.25,1,50253554,BromfieldHawaii,0.45774870991297795
558,False,G,0.25,2,93775918,LufthansaHoyt,0.4742430176538049
559,False,G,0.25,3,37641225,VeronaWelles,0.4928024956623298
560,False,G,0.3,0,55218674,OdinSeymour,0.4488068651509222
561,False,G,0.3,1,67062273,HolbrookPancho,0.47307592856386693
562,False,G,0.3,2,63172391,DurwardAfghanistan,0.49240863940326896
563,False,G,0.3,3,30386834,JarvinOrestes,0.5094178104864729
564,False,G,0.35,0,27925301,DonovanMarcus,0.4614410748699348
565,False,G,0.35,1,50267063,AdrianTartary,0.48917747108255205
566,False,G,0.35,2,47022977,MauriceSpanish,0.5048678819680105
567,False,G,0.35,3,10136530,TimexItalian,0.5219442141884265
568,False,G,0.4,0,52673540,PrincipiaPrinceton,0.472975116735765
569,False,G,0.4,1,47275794,AubreyGottfried,0.49859630574639335
570,False,G,0.4,2,69507271,TanganyikaIngram,0.5151143366854664
571,False,G,0.4,3,60841790,ChicagoanBrenner,0.5328327344851191
572,False,G,0.45,0,53990607,CamilleAttica,0.48730665381270094
573,False,G,0.45,1,37243446,HausaScheherazade,0.5078795533494722
574,False,G,0.45,2,68793097,CayugaParkinson,0.5122542449373579
575,False,G,0.45,3,24121598,McNaughtonClemens,0.5419699056878681
576,True,Gad,0.2,0,13575824,MachiavelliSantiago,0.31689107967604
577,True,Gad,0.2,1,49017693,SanaArgentinian,0.3748078686189069
578,True,Gad,0.2,2,65579350,RockwellSignora,0.40935248969452653
579,True,Gad,0.2,3,45267209,HimalayaBragg,0.42380802106948307
580,True,Gad,0.25,0,80485975,PoMennonite,0.3434706407202877
581,True,Gad,0.25,1,15370353,GinaFerrer,0.39488231598246787
582,True,Gad,0.25,2,43189635,DavidsonJudson,0.42575927811430897
583,True,Gad,0.25,3,96313385,BrasiliaMacon,0.4455159777120242
584,True,Gad,0.3,0,92825087,RiyadhMalthusian,0.3791423244790803
585,True,Gad,0.3,1,20933285,AtalantaHoagland,0.4119071180743141
586,True,Gad,0.3,2,74465896,AlabamianHanover,0.43462807832862105
587,True,Gad,0.3,3,3143838,KendallFraser,0.45814434610659327
588,True,Gad,0.35,0,92162741,YostBrookhaven,0.3837567720976933
589,True,Gad,0.35,1,58253816,StapletonSylvester,0.4140745672663307
590,True,Gad,0.35,2,84544560,RhodeBroglie,0.4451932978529581
591,True,Gad,0.35,3,40785716,AllisonRenault,0.47885452165495157
592,True,Gad,0.4,0,18993832,GoldwaterBenjamin,0.40193432899351517
593,True,Gad,0.4,1,29743999,HathawaySophie,0.42481156910075735
594,True,Gad,0.4,2,5334406,PlanckLagos,0.47286826593364123
595,True,Gad,0.4,3,28265367,SeptemberDewey,0.4753748999968742
596,True,Gad,0.45,0,44967380,VietnamParke,0.421907917242174
597,True,Gad,0.45,1,46154357,GoodePassaic,0.4420414957973998
