,KiddeBlackfoot,LudwigHorowitz,JimenezEinstein,HelmholtzBonaventure,SanfordStromberg,RutherfordBrice,LibrevilleEnglishman,ValeriePulitzer,EurasiaChurchill,PerleHerschel,PuritanArmageddon,MoenHadley,NipponPl,OstranderMonterey,MindanaoDebby,FilipinoTitus,HoustonHoffman,ShreveportBahrein,ClarenceCepheus,HillcrestDuncan,HymanBlum,MalagasyCarrie,PeaseRinehart,ConleySaratoga,DoricPygmalion,DelGullah,IanPoynting,HollisterPearce,HanukkahBaylor,LaredoBryant,BradyAbelian,CoolidgeBirmingham,SommerfeldRothschild,MarianneCarbondale,MarilynRowe,BoltonPaulson,ElbaHerman,KaskaskiaGainesville,CardiffBeardsley,OvidGreece,McMullenMarriott,AdelePickford,StyxBahrein,CarruthersPict,WoodardTenneco,WeierstrassBernice,MoroccoHalsey,HelmutDerek,MacassarNorton,ZanzibarCreole,MoroccoFaustian,AriesAustralia,LodowickLaurie,HuntsvilleSolon,KilimanjaroIsis,GranvilleSaul,FahrenheitDusenbury,LindseySiegmund,IranianParaguay,HathawayFrench,RicoAlsop,CorinthianOhio,KnutsonGuthrie,ConnorsMcCarty,MarriettaCain,BengalOakland,EssexBoeotia,GreenblattClinton,SriPritchard,PearceSchafer,UlanConnecticut,PatrickDante
1347886,7,6.0,7.0,6.0,7,6.0,7.0,6.0,3,6.0,6.0,6.0,6,6.0,7.0,7.0,6,5.0,6.0,7.0,6,5.0,6.0,7.0,7,6.0,7.0,7.0,7,6.0,6.0,6.0,3,5.0,7.0,7.0,6,6.0,7.0,7.0,6,5.0,6.0,6.0,6,6.0,6.0,7.0,6,6.0,7.0,6.0,5,6.0,7.0,6.0,3,5.0,7.0,6.0,6,7.0,7.0,7.0,6,6.0,6.0,7.0,6,5.0,6.0,7.0
1351125,7,,,,7,,,,3,,,,6,,,,6,,,,6,,,,7,,,,7,,,,3,,,,6,,,,6,,,,6,,,,6,,,,5,,,,3,,,,6,,,,6,,,,6,,,
1367171,0,0.0,4.0,,0,0.0,4.0,,0,0.0,4.0,,0,10.0,4.0,,0,10.0,10.0,,0,0.0,4.0,,0,0.0,4.0,,0,0.0,4.0,,0,0.0,4.0,,0,10.0,11.0,,0,9.0,10.0,,0,0.0,4.0,,0,0.0,4.0,,0,0.0,4.0,,0,0.0,4.0,,0,11.0,11.0,,0,0.0,10.0,,0,0.0,4.0,
1375101,0,0.0,4.0,10.0,0,0.0,11.0,4.0,0,0.0,4.0,4.0,0,0.0,12.0,8.0,0,11.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,11.0,0,0.0,4.0,4.0,0,11.0,12.0,11.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,11.0,11.0,0,0.0,4.0,10.0,0,0.0,4.0,4.0,11,0.0,12.0,12.0,10,0.0,4.0,4.0,0,0.0,4.0,4.0
1377586,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
1391179,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,10.0,4.0,4.0,0,10.0,10.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,10.0,11.0,4.0,0,9.0,10.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,11.0,11.0,4.0,0,0.0,10.0,4.0,0,0.0,4.0,4.0
1392771,0,0.0,4.0,10.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,12.0,11.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,10.0,0,0.0,4.0,4.0,0,0.0,12.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0
1395971,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,13.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0
1398253,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,13.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0
1400725,0,0.0,,,0,0.0,,,0,0.0,,,0,10.0,,,0,10.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,10.0,,,0,9.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,11.0,,,0,0.0,,,0,0.0,,
