,KiddeBlackfoot,LudwigHorowitz,JimenezEinstein,HelmholtzBonaventure,SanfordStromberg,RutherfordBrice,LibrevilleEnglishman,ValeriePulitzer,EurasiaChurchill,PerleHerschel,PuritanArmageddon,MoenHadley,NipponPl,OstranderMonterey,MindanaoDebby,FilipinoTitus,HoustonHoffman,ShreveportBahrein,ClarenceCepheus,HillcrestDuncan,HymanBlum,MalagasyCarrie,PeaseRinehart,ConleySaratoga,DoricPygmalion,DelGullah,IanPoynting,HollisterPearce,HanukkahBaylor,LaredoBryant,BradyAbelian,CoolidgeBirmingham,SommerfeldRothschild,MarianneCarbondale,MarilynRowe,BoltonPaulson,ElbaHerman,KaskaskiaGainesville,CardiffBeardsley,OvidGreece,McMullenMarriott,AdelePickford,StyxBahrein,CarruthersPict,WoodardTenneco,WeierstrassBernice,MoroccoHalsey,HelmutDerek,MacassarNorton,ZanzibarCreole,MoroccoFaustian,AriesAustralia,LodowickLaurie,HuntsvilleSolon,KilimanjaroIsis,GranvilleSaul,FahrenheitDusenbury,LindseySiegmund,IranianParaguay,HathawayFrench,RicoAlsop,CorinthianOhio,KnutsonGuthrie,ConnorsMcCarty,MarriettaCain,BengalOakland,EssexBoeotia,GreenblattClinton,SriPritchard,PearceSchafer,UlanConnecticut,PatrickDante
9513911,51,44.0,43.0,30.0,26,25.0,25.0,0.0,11,12.0,21.0,21.0,46,52.0,11.0,33.0,31,18.0,37.0,10.0,26,21.0,22.0,10.0,47,50.0,48.0,45.0,29,26.0,16.0,35.0,21,12.0,16.0,20.0,35,47.0,51.0,53.0,34,16.0,39.0,26.0,23,14.0,12.0,10.0,43,46.0,43.0,34.0,28,25.0,27.0,14.0,11,11.0,20.0,7.0,37,36.0,38.0,11.0,36,38.0,16.0,27.0,26,14.0,13.0,14.0
9519425,12,12.0,47.0,21.0,16,13.0,14.0,11.0,9,11.0,13.0,12.0,14,14.0,50.0,55.0,14,15.0,13.0,13.0,14,10.0,12.0,13.0,13,12.0,13.0,15.0,12,13.0,13.0,14.0,10,11.0,13.0,12.0,14,15.0,16.0,26.0,13,13.0,13.0,12.0,11,11.0,10.0,12.0,19,13.0,14.0,14.0,20,13.0,13.0,21.0,9,12.0,16.0,11.0,15,15.0,15.0,55.0,14,12.0,13.0,13.0,12,12.0,10.0,13.0
9521722,12,12.0,47.0,21.0,16,13.0,14.0,11.0,9,11.0,13.0,12.0,24,23.0,25.0,25.0,21,24.0,13.0,22.0,14,10.0,12.0,13.0,13,12.0,13.0,15.0,12,13.0,13.0,21.0,10,11.0,13.0,12.0,22,25.0,25.0,26.0,13,15.0,13.0,13.0,11,11.0,10.0,12.0,19,13.0,14.0,14.0,20,13.0,13.0,21.0,9,12.0,16.0,11.0,23,23.0,25.0,26.0,15,22.0,13.0,13.0,12,12.0,10.0,13.0
9524538,27,31.0,19.0,49.0,5,17.0,16.0,7.0,16,15.0,15.0,8.0,20,41.0,43.0,21.0,19,21.0,19.0,18.0,17,6.0,7.0,8.0,19,24.0,36.0,21.0,21,28.0,23.0,8.0,4,4.0,18.0,8.0,28,24.0,13.0,23.0,17,28.0,22.0,18.0,16,17.0,13.0,15.0,28,29.0,29.0,33.0,22,4.0,8.0,20.0,4,4.0,9.0,15.0,31,22.0,22.0,22.0,27,25.0,20.0,18.0,7,22.0,7.0,8.0
9525492,1,1.0,1.0,39.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,45.0,1,32.0,31.0,37.0,1,23.0,23.0,5.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,43.0,1,34.0,33.0,29.0,1,1.0,20.0,5.0,1,1.0,1.0,38.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,42.0,46.0,1,1.0,32.0,5.0,1,26.0,24.0,1.0
9527333,22,24.0,8.0,17.0,10,18.0,8.0,7.0,7,9.0,18.0,8.0,8,37.0,23.0,9.0,8,7.0,7.0,36.0,8,6.0,7.0,8.0,18,15.0,21.0,8.0,15,16.0,0.0,12.0,7,8.0,8.0,8.0,8,38.0,36.0,52.0,7,6.0,7.0,7.0,7,7.0,7.0,8.0,18,21.0,8.0,8.0,17,17.0,15.0,7.0,7,16.0,0.0,8.0,21,8.0,32.0,44.0,7,8.0,7.0,8.0,22,6.0,25.0,8.0
9527522,47,43.0,42.0,54.0,21,18.0,8.0,17.0,13,16.0,8.0,19.0,11,22.0,24.0,24.0,11,12.0,0.0,11.0,11,9.0,0.0,11.0,46,7.0,0.0,27.0,23,31.0,28.0,34.0,13,22.0,23.0,15.0,11,23.0,0.0,25.0,10,10.0,7.0,10.0,17,7.0,7.0,8.0,41,45.0,46.0,8.0,18,27.0,30.0,19.0,18,22.0,2.0,8.0,12,21.0,0.0,25.0,11,11.0,0.0,11.0,17,9.0,0.0,11.0
9530532,9,8.0,10.0,25.0,10,9.0,10.0,20.0,7,9.0,10.0,13.0,10,9.0,11.0,11.0,10,9.0,9.0,10.0,10,8.0,9.0,10.0,9,9.0,15.0,11.0,9,10.0,24.0,26.0,7,8.0,15.0,13.0,10,9.0,10.0,10.0,9,8.0,9.0,9.0,9,9.0,9.0,10.0,9,9.0,10.0,32.0,9,9.0,10.0,9.0,7,9.0,11.0,7.0,10,10.0,10.0,11.0,9,10.0,9.0,10.0,9,8.0,9.0,10.0
9531722,1,1.0,1.0,39.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,45.0,1,32.0,31.0,37.0,1,23.0,23.0,5.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,43.0,1,34.0,33.0,29.0,1,1.0,20.0,5.0,1,1.0,1.0,38.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,42.0,46.0,1,1.0,32.0,5.0,1,26.0,24.0,1.0
9532295,13,14.0,15.0,20.0,13,14.0,9.0,18.0,9,8.0,16.0,0.0,23,17.0,18.0,27.0,21,24.0,15.0,22.0,9,13.0,17.0,9.0,14,19.0,16.0,0.0,18,14.0,15.0,14.0,10,14.0,9.0,9.0,16,17.0,19.0,18.0,8,15.0,15.0,13.0,14,8.0,15.0,9.0,12,14.0,16.0,14.0,14,14.0,16.0,15.0,13,13.0,13.0,12.0,17,17.0,19.0,18.0,15,22.0,15.0,0.0,18,7.0,12.0,9.0
9539868,5,5.0,6.0,5.0,5,5.0,5.0,29.0,4,5.0,5.0,5.0,5,5.0,6.0,6.0,5,4.0,5.0,6.0,5,4.0,5.0,6.0,5,5.0,6.0,6.0,5,5.0,5.0,5.0,4,4.0,6.0,6.0,5,5.0,6.0,6.0,5,4.0,5.0,5.0,5,5.0,5.0,6.0,5,5.0,6.0,5.0,4,5.0,5.0,5.0,4,4.0,6.0,5.0,5,6.0,6.0,6.0,5,5.0,5.0,6.0,5,4.0,5.0,6.0
9556700,1,1.0,1.0,39.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,45.0,1,32.0,31.0,37.0,1,23.0,23.0,5.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,43.0,1,34.0,33.0,29.0,1,1.0,20.0,5.0,1,1.0,1.0,38.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,42.0,46.0,1,1.0,32.0,5.0,1,26.0,24.0,1.0
9565674,43,25.0,37.0,18.0,19,15.0,5.0,29.0,17,14.0,14.0,14.0,32,30.0,32.0,26.0,28,29.0,14.0,23.0,15,12.0,16.0,10.0,40,40.0,41.0,9.0,13,24.0,19.0,22.0,16,18.0,5.0,5.0,30,22.0,23.0,41.0,18,22.0,20.0,21.0,10,13.0,14.0,18.0,13,15.0,37.0,45.0,15,22.0,22.0,25.0,17,19.0,20.0,14.0,32,20.0,26.0,27.0,25,21.0,24.0,21.0,13,13.0,9.0,18.0
9567051,2,2.0,2.0,2.0,11,2.0,2.0,16.0,8,2.0,2.0,16.0,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2,23.0,2.0,2.0,10,19.0,18.0,2.0,8,2.0,2.0,2.0,2,2.0,2.0,2.0,2,2.0,2.0,2.0,3,2.0,2.0,2.0,2,2.0,2.0,2.0,2,2.0,2.0,2.0,8,2.0,15.0,2.0,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2,2.0,2.0,2.0
9577562,28,25.0,9.0,22.0,11,15.0,5.0,29.0,8,18.0,14.0,16.0,44,8.0,55.0,10.0,9,26.0,22.0,25.0,18,7.0,8.0,9.0,32,13.0,26.0,24.0,10,9.0,9.0,2.0,8,9.0,9.0,5.0,9,8.0,9.0,9.0,14,7.0,23.0,22.0,8,2.0,16.0,20.0,10,8.0,25.0,25.0,16,8.0,5.0,2.0,8,14.0,10.0,12.0,9,9.0,9.0,10.0,8,9.0,23.0,9.0,15,7.0,17.0,20.0
9583435,35,35.0,39.0,33.0,24,22.0,22.0,22.0,15,0.0,19.0,4.0,0,0.0,8.0,8.0,0,0.0,27.0,4.0,0,0.0,21.0,4.0,39,27.0,30.0,31.0,19,23.0,22.0,27.0,0,17.0,20.0,19.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,23.0,4.0,24.0,35,0.0,28.0,28.0,21,20.0,21.0,24.0,16,17.0,19.0,18.0,0,4.0,4.0,8.0,0,0.0,28.0,4.0,21,0.0,4.0,4.0
9585013,20,20.0,19.0,16.0,8,17.0,16.0,7.0,16,15.0,15.0,8.0,25,7.0,42.0,47.0,15,0.0,19.0,8.0,17,12.0,4.0,4.0,19,18.0,36.0,12.0,20,28.0,17.0,8.0,13,13.0,18.0,8.0,15,26.0,26.0,1.0,7,22.0,22.0,21.0,16,17.0,13.0,15.0,36,34.0,23.0,29.0,19,23.0,8.0,16.0,14,15.0,9.0,15.0,16,24.0,22.0,1.0,7,25.0,33.0,28.0,7,6.0,7.0,5.0
9585036,44,16.0,9.0,10.0,27,25.0,11.0,14.0,15,18.0,19.0,21.0,44,54.0,19.0,10.0,35,18.0,37.0,16.0,16,7.0,8.0,14.0,29,40.0,17.0,45.0,28,30.0,16.0,11.0,12,12.0,16.0,20.0,35,18.0,20.0,19.0,32,16.0,16.0,8.0,8,14.0,12.0,13.0,46,26.0,43.0,47.0,15,25.0,4.0,14.0,12,0.0,20.0,4.0,46,46.0,52.0,19.0,8,17.0,16.0,16.0,26,14.0,13.0,14.0
9585145,26,32.0,37.0,10.0,4,16.0,11.0,20.0,17,0.0,4.0,4.0,32,30.0,12.0,12.0,28,29.0,35.0,23.0,0,12.0,4.0,4.0,29,22.0,4.0,12.0,4,24.0,19.0,11.0,16,0.0,4.0,4.0,30,11.0,12.0,11.0,18,0.0,20.0,4.0,0,0.0,4.0,4.0,29,30.0,11.0,11.0,23,22.0,26.0,10.0,17,19.0,21.0,4.0,32,20.0,26.0,12.0,10,0.0,29.0,21.0,0,13.0,4.0,4.0
9589146,3,13.0,3.0,3.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0,16,10.0,41.0,16.0,3,20.0,17.0,14.0,3,15.0,14.0,15.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0,7,16.0,18.0,17.0,15,14.0,18.0,16.0,3,15.0,3.0,16.0,3,3.0,3.0,39.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0,7,16.0,43.0,17.0,17,14.0,14.0,14.0,15,16.0,14.0,15.0
9594273,12,12.0,11.0,21.0,16,13.0,14.0,11.0,9,11.0,13.0,12.0,14,14.0,15.0,15.0,14,15.0,13.0,13.0,14,10.0,12.0,13.0,13,12.0,13.0,15.0,12,13.0,13.0,14.0,10,11.0,13.0,12.0,14,15.0,16.0,14.0,13,13.0,13.0,12.0,11,11.0,10.0,12.0,19,13.0,14.0,14.0,20,13.0,13.0,21.0,9,12.0,16.0,11.0,15,15.0,15.0,15.0,14,12.0,13.0,13.0,12,12.0,10.0,13.0
9604434,12,12.0,47.0,21.0,16,13.0,14.0,11.0,9,11.0,13.0,12.0,14,14.0,38.0,15.0,14,15.0,13.0,13.0,14,10.0,12.0,28.0,13,12.0,13.0,15.0,12,13.0,13.0,14.0,10,11.0,13.0,12.0,14,15.0,16.0,26.0,13,13.0,13.0,12.0,11,11.0,10.0,12.0,19,13.0,14.0,14.0,20,13.0,13.0,21.0,9,12.0,16.0,11.0,15,15.0,15.0,55.0,14,12.0,13.0,12.0,12,12.0,10.0,13.0
9606496,9,24.0,10.0,9.0,10,9.0,10.0,24.0,7,9.0,10.0,10.0,10,9.0,23.0,2.0,10,9.0,9.0,36.0,10,8.0,2.0,2.0,9,9.0,10.0,19.0,9,10.0,10.0,10.0,7,8.0,10.0,10.0,10,9.0,36.0,10.0,9,8.0,9.0,2.0,9,9.0,9.0,10.0,9,25.0,10.0,10.0,9,9.0,10.0,9.0,7,9.0,11.0,5.0,10,10.0,10.0,2.0,9,10.0,9.0,19.0,9,8.0,9.0,17.0
9609048,1,1.0,1.0,39.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,45.0,1,32.0,31.0,37.0,1,23.0,23.0,5.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,43.0,1,34.0,33.0,29.0,1,1.0,20.0,5.0,1,1.0,1.0,38.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,42.0,46.0,1,1.0,32.0,5.0,1,26.0,24.0,1.0
9612903,12,12.0,47.0,21.0,16,13.0,14.0,11.0,9,11.0,13.0,12.0,14,27.0,50.0,55.0,14,15.0,13.0,13.0,12,10.0,10.0,13.0,13,12.0,13.0,15.0,12,13.0,13.0,14.0,10,11.0,13.0,12.0,14,13.0,16.0,26.0,13,13.0,13.0,12.0,11,11.0,10.0,12.0,19,13.0,14.0,14.0,20,13.0,13.0,21.0,9,12.0,16.0,11.0,15,15.0,15.0,55.0,14,12.0,13.0,12.0,12,12.0,10.0,13.0
9621307,9,24.0,10.0,9.0,10,9.0,10.0,21.0,7,9.0,10.0,10.0,10,9.0,11.0,11.0,10,9.0,9.0,10.0,10,8.0,9.0,10.0,9,9.0,10.0,10.0,9,10.0,10.0,10.0,7,8.0,10.0,10.0,10,9.0,10.0,10.0,9,8.0,9.0,9.0,9,9.0,9.0,10.0,9,25.0,10.0,10.0,9,9.0,10.0,9.0,7,9.0,11.0,5.0,10,10.0,10.0,11.0,9,10.0,9.0,10.0,9,8.0,9.0,10.0
9637388,9,24.0,10.0,9.0,10,9.0,10.0,24.0,7,9.0,10.0,10.0,10,9.0,5.0,5.0,10,9.0,9.0,5.0,10,8.0,9.0,10.0,9,9.0,10.0,19.0,9,10.0,10.0,10.0,7,8.0,10.0,10.0,10,9.0,5.0,5.0,9,8.0,9.0,1.0,9,9.0,9.0,10.0,9,25.0,10.0,10.0,9,9.0,10.0,9.0,7,9.0,11.0,5.0,10,10.0,5.0,5.0,9,10.0,9.0,6.0,9,8.0,9.0,5.0
9641919,35,35.0,5.0,33.0,24,22.0,22.0,22.0,16,4.0,19.0,20.0,49,53.0,54.0,37.0,29,30.0,27.0,30.0,22,20.0,21.0,24.0,41,35.0,5.0,31.0,4,23.0,21.0,27.0,16,17.0,5.0,19.0,52,49.0,17.0,48.0,25,22.0,28.0,25.0,13,23.0,22.0,24.0,35,30.0,32.0,33.0,19,20.0,21.0,24.0,16,17.0,5.0,18.0,51,34.0,35.0,37.0,26,29.0,28.0,26.0,21,24.0,21.0,25.0
9643439,9,29.0,10.0,25.0,10,23.0,10.0,20.0,7,9.0,10.0,13.0,10,30.0,11.0,11.0,10,9.0,9.0,10.0,10,8.0,9.0,10.0,33,26.0,15.0,11.0,25,10.0,24.0,26.0,7,8.0,15.0,13.0,10,30.0,10.0,31.0,9,8.0,9.0,9.0,9,9.0,9.0,10.0,32,9.0,31.0,32.0,25,21.0,10.0,9.0,7,9.0,20.0,7.0,10,30.0,10.0,11.0,9,10.0,9.0,10.0,9,8.0,9.0,10.0
9698907,9,8.0,10.0,9.0,10,9.0,10.0,21.0,7,9.0,10.0,10.0,10,9.0,28.0,23.0,10,9.0,9.0,20.0,10,8.0,9.0,17.0,9,9.0,29.0,28.0,9,10.0,10.0,17.0,7,8.0,10.0,10.0,10,9.0,10.0,32.0,9,8.0,9.0,19.0,9,9.0,9.0,18.0,9,9.0,27.0,10.0,9,9.0,10.0,9.0,7,8.0,11.0,13.0,10,10.0,10.0,24.0,9,10.0,9.0,21.0,9,8.0,9.0,18.0
9707941,4,31.0,5.0,1.0,4,1.0,22.0,29.0,4,4.0,1.0,1.0,25,32.0,35.0,26.0,4,1.0,14.0,31.0,4,1.0,1.0,5.0,4,4.0,5.0,35.0,1,1.0,21.0,1.0,4,4.0,5.0,5.0,15,35.0,30.0,57.0,4,1.0,29.0,21.0,4,4.0,1.0,5.0,4,4.0,32.0,45.0,1,4.0,1.0,28.0,4,1.0,5.0,1.0,35,35.0,36.0,27.0,4,4.0,24.0,21.0,4,1.0,16.0,1.0
9714476,46,11.0,50.0,8.0,20,12.0,32.0,0.0,10,22.0,16.0,17.0,13,13.0,27.0,0.0,13,14.0,12.0,26.0,13,11.0,12.0,13.0,12,51.0,52.0,49.0,30,12.0,14.0,24.0,10,15.0,24.0,22.0,25,14.0,15.0,30.0,21,12.0,12.0,0.0,11,12.0,11.0,21.0,45,47.0,49.0,9.0,20,12.0,12.0,8.0,10,11.0,12.0,11.0,14,14.0,14.0,32.0,13,24.0,25.0,23.0,11,11.0,11.0,21.0
9716858,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,8.0,8.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,4.0,4.0,8.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0
9718223,22,29.0,31.0,,10,23.0,25.0,,7,9.0,10.0,,10,30.0,11.0,,10,9.0,9.0,,10,8.0,22.0,,33,26.0,10.0,,9,10.0,10.0,,7,8.0,16.0,,35,30.0,51.0,,9,8.0,9.0,,9,9.0,9.0,,14,9.0,10.0,,9,9.0,10.0,,7,9.0,20.0,,10,30.0,38.0,,9,10.0,16.0,,9,8.0,13.0,
9720614,9,8.0,10.0,30.0,10,23.0,10.0,8.0,7,9.0,10.0,10.0,10,9.0,11.0,11.0,10,9.0,9.0,10.0,10,8.0,9.0,10.0,9,9.0,15.0,11.0,9,10.0,10.0,10.0,7,8.0,10.0,20.0,35,9.0,51.0,10.0,9,8.0,9.0,9.0,9,9.0,9.0,10.0,9,9.0,10.0,34.0,9,9.0,10.0,9.0,7,9.0,20.0,7.0,10,10.0,38.0,11.0,9,10.0,9.0,10.0,9,8.0,9.0,10.0
9724693,9,8.0,10.0,9.0,10,9.0,10.0,21.0,7,9.0,10.0,10.0,10,9.0,11.0,11.0,10,9.0,9.0,10.0,10,8.0,9.0,10.0,9,9.0,10.0,10.0,9,10.0,10.0,10.0,7,8.0,10.0,10.0,10,9.0,10.0,10.0,9,8.0,9.0,9.0,9,9.0,9.0,10.0,9,9.0,10.0,10.0,9,9.0,10.0,9.0,7,9.0,11.0,5.0,10,10.0,10.0,11.0,9,10.0,9.0,10.0,9,8.0,9.0,10.0
9730873,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,45.0,1,32.0,31.0,37.0,1,23.0,23.0,5.0,1,1.0,1.0,44.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,43.0,1,34.0,33.0,29.0,1,1.0,20.0,5.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,42.0,46.0,1,1.0,32.0,5.0,1,26.0,24.0,1.0
9739780,22,29.0,10.0,9.0,10,9.0,10.0,8.0,7,9.0,10.0,10.0,10,30.0,11.0,11.0,10,9.0,9.0,10.0,10,8.0,9.0,10.0,9,29.0,10.0,11.0,9,10.0,10.0,10.0,7,8.0,10.0,20.0,10,30.0,10.0,31.0,9,8.0,9.0,9.0,9,9.0,9.0,10.0,21,9.0,10.0,16.0,9,9.0,10.0,9.0,7,9.0,11.0,7.0,10,30.0,10.0,11.0,9,10.0,9.0,10.0,9,8.0,9.0,10.0
9747418,17,17.0,18.0,19.0,2,2.0,17.0,2.0,2,13.0,2.0,11.0,38,40.0,43.0,48.0,18,33.0,26.0,18.0,2,2.0,24.0,16.0,2,16.0,22.0,21.0,2,2.0,2.0,19.0,2,2.0,0.0,2.0,42,39.0,42.0,44.0,28,35.0,27.0,30.0,2,25.0,21.0,26.0,2,19.0,20.0,41.0,2,2.0,2.0,30.0,2,2.0,2.0,16.0,39,42.0,44.0,49.0,29,33.0,27.0,17.0,2,17.0,19.0,16.0
9750356,6,21.0,14.0,37.0,6,7.0,19.0,12.0,5,7.0,7.0,13.0,25,24.0,17.0,26.0,15,16.0,14.0,23.0,15,12.0,16.0,19.0,6,21.0,14.0,5.0,6,7.0,7.0,22.0,5,6.0,14.0,16.0,15,26.0,26.0,27.0,6,22.0,16.0,21.0,10,13.0,14.0,18.0,7,22.0,15.0,45.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,16,24.0,26.0,27.0,25,15.0,24.0,21.0,13,13.0,16.0,18.0
9753418,51,15.0,43.0,38.0,15,25.0,25.0,8.0,12,12.0,21.0,21.0,46,8.0,10.0,33.0,31,18.0,37.0,5.0,26,21.0,22.0,14.0,15,40.0,17.0,45.0,14,26.0,16.0,15.0,12,12.0,16.0,20.0,35,47.0,9.0,9.0,34,16.0,39.0,8.0,23,14.0,12.0,13.0,46,33.0,43.0,34.0,16,25.0,27.0,14.0,12,0.0,20.0,13.0,4,36.0,5.0,10.0,36,38.0,16.0,9.0,26,14.0,13.0,14.0
9753494,8,7.0,9.0,14.0,9,8.0,13.0,15.0,6,8.0,9.0,16.0,17,8.0,10.0,10.0,9,8.0,8.0,9.0,16,7.0,8.0,9.0,8,40.0,47.0,16.0,8,15.0,12.0,9.0,6,7.0,9.0,9.0,9,8.0,9.0,9.0,14,7.0,8.0,8.0,8,14.0,8.0,9.0,46,33.0,44.0,18.0,8,25.0,9.0,15.0,12,8.0,13.0,12.0,9,9.0,9.0,10.0,8,9.0,8.0,9.0,8,7.0,8.0,9.0
9753530,44,32.0,25.0,10.0,27,0.0,11.0,14.0,15,0.0,4.0,4.0,0,54.0,12.0,12.0,0,18.0,4.0,16.0,0,0.0,4.0,4.0,29,40.0,4.0,12.0,28,30.0,4.0,11.0,0,0.0,4.0,4.0,0,11.0,12.0,11.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,46,32.0,11.0,11.0,15,0.0,4.0,10.0,20,0.0,4.0,4.0,11,0.0,12.0,12.0,10,0.0,4.0,4.0,0,14.0,4.0,4.0
9761454,26,31.0,28.0,18.0,4,4.0,22.0,20.0,4,4.0,20.0,20.0,33,32.0,35.0,31.0,29,16.0,28.0,28.0,22,20.0,21.0,19.0,27,33.0,5.0,35.0,4,24.0,21.0,22.0,16,6.0,5.0,16.0,32,35.0,30.0,57.0,24,22.0,29.0,21.0,10,23.0,14.0,24.0,26,30.0,32.0,32.0,23,18.0,26.0,28.0,4,19.0,5.0,18.0,35,35.0,18.0,61.0,26,28.0,24.0,30.0,21,24.0,16.0,25.0
9766793,1,1.0,1.0,39.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,45.0,1,32.0,31.0,37.0,1,23.0,23.0,5.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,43.0,1,34.0,33.0,29.0,1,1.0,20.0,5.0,1,1.0,1.0,38.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,42.0,46.0,1,1.0,32.0,5.0,1,26.0,24.0,1.0
9767705,12,46.0,13.0,55.0,20,13.0,14.0,33.0,10,11.0,16.0,12.0,15,15.0,34.0,15.0,33,15.0,13.0,30.0,14,10.0,21.0,13.0,13,51.0,44.0,46.0,12,13.0,14.0,14.0,10,11.0,24.0,12.0,48,41.0,17.0,15.0,13,13.0,13.0,25.0,13,23.0,11.0,24.0,23,47.0,49.0,56.0,13,13.0,13.0,12.0,10,12.0,12.0,11.0,34,34.0,16.0,15.0,13,8.0,38.0,26.0,11,24.0,21.0,13.0
9787592,0,0.0,4.0,4.0,0,0.0,11.0,4.0,0,0.0,4.0,4.0,6,0.0,12.0,8.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,11.0,0,0.0,4.0,4.0,0,0.0,12.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,11.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,4.0,12.0,12.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0
9787859,3,13.0,3.0,35.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0,16,10.0,41.0,17.0,17,10.0,17.0,24.0,3,16.0,14.0,15.0,3,3.0,3.0,25.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0,7,10.0,18.0,17.0,15,14.0,18.0,16.0,3,15.0,3.0,16.0,3,3.0,3.0,39.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0,7,11.0,43.0,17.0,20,14.0,14.0,15.0,15,16.0,14.0,15.0
9787933,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,8.0,8.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,4.0,4.0,8.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0
9792178,17,17.0,29.0,32.0,2,2.0,18.0,26.0,2,13.0,2.0,11.0,38,40.0,43.0,48.0,18,33.0,26.0,18.0,2,2.0,24.0,16.0,2,16.0,19.0,34.0,2,2.0,24.0,20.0,2,2.0,0.0,13.0,42,39.0,42.0,44.0,28,35.0,27.0,30.0,2,25.0,21.0,26.0,2,19.0,33.0,31.0,2,2.0,17.0,27.0,2,2.0,15.0,18.0,39,42.0,44.0,49.0,29,33.0,27.0,17.0,2,17.0,19.0,16.0
9795662,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,6,6.0,60.0,8.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,6.0,4.0,59.0,0,5.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,11.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,6,7.0,56.0,12.0,0,0.0,4.0,37.0,0,0.0,4.0,4.0
9796812,1,1.0,1.0,39.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,45.0,1,32.0,31.0,37.0,1,23.0,23.0,5.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,40.0,43.0,1,34.0,33.0,29.0,1,1.0,20.0,5.0,1,1.0,1.0,38.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,42.0,46.0,1,1.0,32.0,5.0,1,26.0,24.0,1.0
