, neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,Class 2,n_asym_edges
8034919,CN-16,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12299621,539,,43
16339645,CN-51,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12868041,585,,43
17019327,FB-24,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,11409587,498,,43
12704069,CN-1,FBN,FBN,FALSE,FALSE,FALSE,TRUE,R,2966602,22,,43
10627239,MB2IN-162 (Bilateral above BPL,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15608953,709,,42
4780707,LH-4 (AF15: off suckerfish_left) [*DPLp_l akira] #4780707,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15683275,115,,42
15588620,FB-7,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,7594047,702,,42
12840470,LH-25,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,10495502,583,,42
3010486, (AF0: neuron right) [*DPLm1_r akira] #3010486,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,11027071,471,,42
15606239, (BLAl_l-X right) [*BLAl_r akira] #15606239,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,7388340,215,,42
14077179,FB2IN-2,O_dSEZ;FB2N,O_dSEZ;FB2N,FALSE,FALSE,FALSE,TRUE,R,9083312,318,,42
15679639, (above BPL toward anterior Right) [*DPLal1-3_r akira] #15679639,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14797760,660,,42
4227831,MB2ON-1 (AC ; DALcm12 m ant med 1_right) [*DALcm12-m_r akira] #4227831,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,19175973,1055,,42
17671219,CN-34,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,4665186,110,,42
2920554,MB2IN-138 (cpld-- downtoDN1 right) [*DPLc_ant_lat_r akira] #2920554,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,3820148,46,,42
8571259, (DPMm1 4_right ) [*DPMm1_r akira] #8571259,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10600188,420,,42
3765728, (UNK bridge right; AF6: Munin Output right) [*DPLc_post_lat_r akira] #3765728,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15825892,731,,42
17525174, (DL-LH_cand6_sibling right; BLVa12 a 7) [*BLVa12_r akira] #17525174,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,11003707,461,,42
14071449,MB2ON-25 (Crab Arm DAMd23_left) [*DAMd23_l akira] #14071449,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,13953546,617,,41
14034206, (telegoro-2 right; (ipsigoro lineage)) [*DPMl_ant_dor_r akira] #14034206,O_dVNC,O_dVNC,FALSE,FALSE,FALSE,TRUE,R,13749806,605,,41
8132513,MB2IN-132,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,9965610,374,,41
16852421, (BAlp2_right) [*BAlp_ant_r akira] #16852421,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14726069,657,,41
6451332, mPN D (mPN D left) [unknown lineage] #6451332,mPN,mPN-olfac,FALSE,FALSE,FALSE,TRUE,L,3538129,181,olfac,41
15683275,LH-4 (AF15: off suckerfish_right) [*DPLp_r akira] #15683275,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,4780707,115,,41
11465297,MB2ON-92 (CC ; DPLm post 1_right) [*DPLc5_r akira,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12866697,584,,41
7503199,MB2ON-257,mPN,mPN-multi,FALSE,FALSE,FALSE,TRUE,R,9589146,357,multi,41
8184598,MB2ON-3 (BI ; NI_right) [*CPf_r akira] #8184598,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16464284,786,,41
12424940,MB2IN-152,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,5971400,558,,41
4665186,CN-34,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17671219,110,,41
8711574,CN-39,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16100461,748,,41
16353832,MBIN-b2 (MBE10b right) [*DPLd_r akira] #16353832,MBIN,MBIN,FALSE,FALSE,FALSE,TRUE,R,17295912,913,,41
14073503,MB2IN-112,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,5669107,619,,41
15623649,FB2IN-12,FB2N,FB2N,FALSE,FALSE,FALSE,TRUE,L,20443457,711,,41
10882750, (SLQ2_right) [*DALl1_r akira] #10882750,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10842099,442,,41
3272218, (DM-NPF_conn4_right) [*DALl1_r akira] #3272218,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,3061422,31,,41
10945581, (BLVp12 sickle 2 right) [*BLVp2_r akira] #10945581,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,19884188,1067,,41
18500988,MB2IN-124,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,14334367,1035,,41
3814853,LH-24 (T3: PVLr_right) [*BLAvm post_r akira] #3814853,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,2439067,12,,41
16617920,MB2ON-191 (BR ; Right) [*BLP12_r akira] #16617920,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,5745929,157,,40
18264509,MB2ON-188 (neuron 18264510 right) [*CM4-vm_r akira] #18264509,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10400440,401,,40
17980792,FB2IN-17,FB2N,FB2N,FALSE,FALSE,FALSE,TRUE,R,16848475,838,,40
9480916, (ni contralateral 3 left) [ni-neurons MB_l akira] #9480916,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,9077224,346,,40
4901087, (DAMv12 Mandible 1 left) [*DAMv12_lat_l akira] #4901087,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,18133444,117,,40
1678567,MB2ON-135 (BU ; DALd 4_left) [*DALd_l akira] #1678567,O_dVNC,O_dVNC,FALSE,FALSE,FALSE,TRUE,L,6153877,3,,40
4515496,MB2IN-121,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16544462,797,,40
16361363, (DAMd23 bilateral left) [*DAMd23_l akira] #16361363,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,13953184,761,,40
4327684,FFN-21,mPN;FFN,mPN;FFN-multi,FALSE,FALSE,FALSE,TRUE,R,12225666,531,multi,40
9141404,CN-59,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,16691937,320,,40
3913629,CN-29,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12498338,565,,40
4199033,FAN-8,FAN,FAN,FALSE,FALSE,FALSE,TRUE,R,4408397,92,,40
11605567, (DS noci_sibling_right) [*DPLc_post_lat_r akira] #11605567,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17927604,1011,,40
13197236,CN-18,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,8075484,593,,40
15481779,MB2ON-241 (DPLc_post_med-1_right) [*DPLc_post_med_r akira] #15481779,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17334530,918,,40
16910799,MB2ON-59 (BT ; CM13 med 5_right) [*CM13_med_r akira] #16910799,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,7700444,225,,40
9583435,FFN-14,FFN,FFN,FALSE,FALSE,FALSE,TRUE,R,9015745,309,,40
8565131,CN-28,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14319185,628,,40
6317793,MB2IN-172 (DPLc1 Descending R) [*DPMl_ant_ven_r akira] #6317793,O_dSEZ,O_dSEZ,FALSE,FALSE,FALSE,TRUE,R,3044500,27,,40
17058350,CN-17,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,5874480,171,,40
19048289, (BAla34 brush right) [*BAla34_r akira] #19048289,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14586769,648,,39
17942676, (LH_sibling 67 right) [*BLDc_r akira] #17942676,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14319498,629,,39
4119387,MB2ON-183,mPN,mPN-olfac,FALSE,FALSE,FALSE,TRUE,R,8276782,269,olfac,39
3061422, (DM-NPF_conn4_left) [*DALv1_l akira] #3061422,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,3272218,31,,39
17822238,CN-22,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,8037197,249,,39
14127447,FFN-15,FFN,FFN,FALSE,FALSE,FALSE,TRUE,R,16978882,870,,39
11889676,CN-6,FBN,FBN,FALSE,FALSE,FALSE,TRUE,R,14313750,627,,39
16260741, (ASB Lander Right) [*DPLc_post_int_r akira] #16260741,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17696578,967,,39
15608953,MB2IN-162 (Bilateral above BPL,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,10627239,709,,39
11329998,MB2ON-208 (DPMm1 FB4_left) [*DPMm1_l akira] #11329998,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,13365464,494,,39
3886356,DAN-d1 (MBE4h left) [*CPb_l akira] #3886356,MBIN,MBIN-DAN,FALSE,FALSE,FALSE,TRUE,L,5966099,47,DAN,39
17980698, (ASB Pointer right) [*DPLc_post_int_r akira] #17980698,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,9800031,367,,39
17361757,CN-20,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,12813847,950,,39
5091874,FB2IN-15,FB2N,FB2N,FALSE,FALSE,FALSE,TRUE,L,9287906,125,,39
6591182,FB2IN-11,FB2N,FB2N,FALSE,FALSE,FALSE,TRUE,L,6597872,185,,39
5700090,MB2IN-170 (neuron 5700091 STBA#paired with Partner 27) [*BLAvm post_r akira] #5700090,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,5033480,122,,39
20443457,FB2IN-12,FB2N,FB2N,FALSE,FALSE,FALSE,TRUE,R,15623649,711,,39
5738449,CN-58,FAN,FAN,FALSE,FALSE,FALSE,TRUE,R,12262910,534,,39
13411394, (DPMm1 horseshoe 1 right; DPMm1 FB2_right) [*DPMm1_r akira] #13411394,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,19268007,1056,,39
12813847,CN-20,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17361757,950,,39
7053966,MB2IN-113,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,4214582,198,,39
3793760, (Output of Munin 3 right - PAIR #1; CP4 9) [*CPd_r akira] #3793760,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,3931398,55,,38
16848475,FB2IN-17,FB2N,FB2N,FALSE,FALSE,FALSE,TRUE,L,17980792,838,,38
4130960, (Local Crescent right) [*BLAd-OL_r akira] #4130960,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16059078,742,,38
8752697,FAN-1,FAN,FAN,FALSE,FALSE,FALSE,TRUE,R,3157405,32,,38
5973097,MB2IN-93 (Bilaterial downstream BPL-to-MB right; CP4 3) [*CPd_r akira] #5973097,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15568134,695,,38
17334530,MB2ON-241 (DLPc_post_med-1_left) [*DPLc_post_med_l akira] #17334530,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15481779,918,,38
2438653, (MB2IN-162/163 like left; PDLr) [*DPLp_l akira] #2438653,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15632120,11,,38
14319185,CN-28,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8565131,628,,38
12049797,MB2IN-154,Unk,Unk,FALSE,TRUE,TRUE,TRUE,R,15770140,726,,38
17557290, (BLVp12 sickle 3 left) [*BLVp1_l akira] #17557290,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,10946002,964,,38
12299621,CN-16,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8034919,539,,38
13743125,CN-46,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,17854345,604,,38
16468935, (gate1_left) [*TRdl post_l akira] #16468935,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,10781924,787,,38
6190181, (DALcl contralateral 1 right; DALcl12 vv 4 neuron 6190182) [*DALcl12-v_r akira] #6190181,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,8025665,248,,38
11018254,CN-5,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,15480928,469,,38
10339991,MB2ON-75 (DPMpm1 3_right) [*DPMpm1_r akira] #10339991,O_dSEZ,O_dSEZ,FALSE,FALSE,FALSE,TRUE,R,17373283,951,,38
3044500,MB2IN-172 (DPLc1 Descending L) [*DPMl_ant_ven_l akira] #3044500,O_dSEZ,O_dSEZ,FALSE,FALSE,FALSE,TRUE,L,6317793,27,,38
7980369,FB-38,FBN,FBN,FALSE,FALSE,FALSE,TRUE,R,7026287,197,,38
18035864,FB2IN-3,FB2N,FB2N,FALSE,FALSE,FALSE,TRUE,L,4411688,1017,,38
3946166,MB2IN-206 (Pre-goro3 left) [*DPMl_ant_dor_l akira] #3946166,O_dVNC,O_dVNC,FALSE,FALSE,FALSE,TRUE,L,3620633,65,,37
19271710,FB2IN-6,FB2N,FB2N,FALSE,FALSE,FALSE,TRUE,R,3945246,61,,37
17378483, (DPlal outer bilateral 1 right) [*DPlal1-3_lat_r akira,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17360038,939,,37
3235409, (Rose 1 right) [*BLAv12_ant_r akira] #3235409,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14782250,659,,37
10673895,DAN-g1 (MBE4f right) [*CPb_r akira] #10673895,MBIN,MBIN-DAN,FALSE,FALSE,FALSE,TRUE,R,4381377,84,DAN,37
12474164, (DPMm2 descending right) [*DPMm2_r akira] #12474164,O_dVNC,O_dVNC,FALSE,FALSE,FALSE,TRUE,R,17022668,875,,37
2369444,MB2IN-199,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,10119916,9,,37
6133702, (AF6 right - ASB TODO 1.1) [*DPLc_post_lat_r akira] #6133702,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,3946364,66,,37
5321459,CN-13,FBN,FBN,FALSE,FALSE,FALSE,TRUE,R,10809383,440,,37
11871574,FB-36,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,11102156,521,,37
9811608,MB2IN-100 (ASB TODO from gPN 3 right) [*BLVa_t_r akira] #9811608,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10885466,448,,37
8069365,MB2ON-63 (QI; visual interneuron_right) [*BLAd-OL_r akira] #8069365,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,4721538,112,,37
