, neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,Class 2,n_asym_edges,n_asym_out_edges,n_asym_in_edges
3061422, (DM-NPF_conn4_left) [*DALv1_l akira] #3061422,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,3272218,31,,26,17,9
11178891,CN-37,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16486385,792,,26,21,5
20443544, (BLP34 descending 1 right) [*BLP34_r akira] #20443544,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,5747036,158,,26,1,25
8979434, (DPlal simple bilateral 7 right) [*DPLal1-3_r akira] #8979434,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15689046,720,,26,16,10
15638932, (DPlal bilateral 1 right) [*DPlal1-3_ant_r akira,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15686444,719,,26,20,6
16848587, (SLQ1_left) [*DALv1_l akira] #16848587,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,14753815,840,,26,19,7
13834125, (LX1_right) [*BAmd2_v_r akira] #13834125,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16167914,751,,26,9,17
10400440,MB2ON-188 (Fragment with soma left) [*CM4-vm_l akira] #10400440,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,18264509,401,,26,10,16
9800031, (ASB Pointer left) [*DPLc_post_int_l akira] #9800031,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17980698,367,,26,4,22
10345590, (BLAl F neuron 1 left) [*BLAl_l akira] #10345590,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15048530,397,,26,3,23
10684539, (BLP12 claw 2 right; BLP12 a 7) [*BLP12_r akira] #10684539,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16045758,740,,25,9,16
17729973, (CPd contralateral 1 left) [*CPd_l akira] #17729973,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,10870424,986,,25,9,16
11719626, (BLP12 spaghetti left; dpn_left_1304_2) [*BLP12_l akira] #11719626,Unk,Unk,FALSE,TRUE,TRUE,TRUE,L,20278329,513,,25,24,1
2438653, (MB2IN-162/163 like left; PDLr) [*DPLp_l akira] #2438653,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15632120,11,,25,18,7
13953356,MB2ON-42 (IL; DAMd23_right) [*DAMd23_r akira] #13953356,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12869029,586,,25,2,23
17315288,MB2IN-120,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,5326407,916,,25,11,14
17525174, (DL-LH_cand6_sibling right; BLVa12 a 7) [*BLVa12_r akira] #17525174,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,11003707,461,,25,18,7
10922020, (MIXED bilateral left) [unknown lineage] #10922020,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17654638,453,,25,11,14
5763407, (BLVp12 descending-like left) [*BLVp1_l akira] #5763407,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,7982307,164,,25,0,25
10323628,MB2IN-135,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8370111,395,,25,20,5
15608953,MB2IN-162 (Bilateral above BPL,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,10627239,709,,25,16,9
16486385,CN-37,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,11178891,792,,25,19,6
15679639, (above BPL toward anterior Right) [*DPLal1-3_r akira] #15679639,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14797760,660,,25,14,11
10568310, (DPMm1 horseshoe 2 left) [*DPMm1_l akira] #10568310,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,2667980,416,,25,2,23
4108720, (AF9: brush right) [*DPLp_r akira] #4108720,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16494105,795,,24,6,18
9612903,MB2ON-193 (DALv contra #1 neuron 9612904 left) [*DALcl12-v_l akira] #9612903,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17535542,359,,24,11,13
16472086, (Basal Tel-like 4 left) [*BLAv12_post_l akira] #16472086,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,16433177,788,,24,21,3
16468935, (gate1_left) [*TRdl post_l akira] #16468935,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,10781924,787,,24,20,4
18264509,MB2ON-188 (neuron 18264510 right) [*CM4-vm_r akira] #18264509,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10400440,401,,24,12,12
8572353, (VB: DPMm1 4_right) [*DPMm1_r akira] #8572353,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10872426,444,,24,9,15
4127926, (BLP34 bilateral 2 right) [*BLP34_r akira] #4127926,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,5745110,156,,24,11,13
12840470,LH-25,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,10495502,583,,24,22,2
12782494, (SLU_left) [*DPMpl12_l akira] #12782494,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15585114,579,,24,6,18
17360070, (DPlal simple bilateral 6 left) [*DPlal1-3_ant_l akira] #17360070,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15656223,941,,24,22,2
19143114, (Scimitar right) [*BLP34_r akira] #19143114,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,8884212,304,,24,10,14
13803032,CN-27,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,5453333,135,,24,13,11
7569260, (CP1 d 1 right) [*CPf_r akira] #7569260,O_dVNC,O_dVNC,FALSE,FALSE,FALSE,TRUE,R,7005184,194,,24,0,24
16070049,CN-21,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12476851,562,,24,21,3
5118060,MB2IN-196 (UT: BLAv12-1_left) [*BLAv12_post_l akira] #5118060,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15605987,126,,24,22,2
