,neuron_name,Class 1,is_LNpre,is_pdiff,is_usplit,CAT_is_sink,is_brain,Hemisphere,Pair,Pair ID,Merge Class,lineage,dendrite_input,axon_input,Class 2,idx,dead_counts
15547235, (BAmd1 PN 2 left) [*BAmd1_l akira] #15547235,unk,False,False,True,False,True,L,17036132,692,unk,BAmd1,79,0,,1805,79.0
17036132, (BAmd1 PN 2 right) [*BAmd1_r akira] #17036132,unk,False,False,True,False,True,R,15547235,692,unk,BAmd1,73,0,,2333,74.0
16283590,MB2IN-159 (not MB2IN-159) [*BLAv12_ant_l akira,unk,False,False,False,False,True,L,-1,-1,unk,unk,35,0,,2091,70.0
5734134, (BAmd1 bilateral right) [*BAmd1_r akira] #5734134,LHN2,True,False,True,False,True,R,15541971,691,LHN2,BAmd1,81,0,,546,65.0
4985759,Thermo PN 2 (AVL011 PN Left) [*BAlp4_l akira] #4985759,LHN,True,False,True,False,True,L,9291474,120,LHN,BAlp4,83,0,,463,65.0
16713231, (PVM21?_right (= Pre-goro15); CM4 dor pos 12 DNs) [*CM4-dm_r akira] #16713231,unk,False,False,False,False,True,R,10378182,397,unk,CM4-dm,36,2,,2249,63.0
4620453, (AVL011 PN Right 2?) [*BAlp4_r akira] #4620453,unk,True,False,True,False,True,R,-1,-1,unk,BAlp4,64,0,,432,49.0
9291474,Thermo PN 2 (AVL011 PN Right) [*BAlp4_r akira] #9291474,LHN,True,False,True,False,True,R,4985759,120,LHN,BAlp4,77,0,,1074,49.0
16347476, (DPM splitter right) [*DPMl12_post_r akira] #16347476,LHN2,True,False,True,False,True,R,11073313,474,LHN2,DPMl12_post,50,0,,2114,47.0
12989453, (DPLc ant med 1) [*DPLc_ant_med_r akira,unk,False,False,False,False,True,R,-1,-1,unk,unk,19,1,,1552,35.0
14756440, (DALv1 bilateral 1 right) [*DALv1_r akira] #14756440,unk,True,False,True,False,True,R,13370624,596,unk,DALv1,28,0,,1721,34.0
13370624, (DALv1 bilateral 1 left) [*DALv1_l akira] #13370624,unk,True,False,True,False,True,L,14756440,596,unk,DALv1,47,0,,1579,33.0
19835787, (UNK posterior hook left) [unknown lineage] #19835787,unk,False,False,False,False,True,L,17380309,1137,unk,unk,9,3,,2740,31.0
9513911, (BLDc ipsilateral unpaired right) [*BLDc_r akira] #9513911,unk,True,False,True,False,True,R,-1,-1,unk,BLDc,24,0,,1102,25.0
11717030, (BLP12 descending 1 left; dpn_left_1304_11) [*BLP12_l akira] #11717030,unk,True,False,True,False,True,L,9606496,509,unk,BLP12,54,0,,1422,22.0
11073313, (DPM splitter left) [*DPMpl12_l akira] #11073313,LHN2,True,False,True,False,True,L,16347476,474,LHN2,DPMpl12,33,0,,1352,19.0
20278329, (BLP12 spaghetti right; BLP12 a 11) [*BLP12_r akira] #20278329,unk,True,False,True,False,True,R,11719626,512,unk,BLP12,101,0,,2756,18.0
17360254, (AB left; DALv1 L Lineage - Downstream A00c) [*DALv1_l akira] #17360254,unk,True,False,True,False,True,L,4393350,942,unk,DALv1,104,0,,2450,11.0
1137946, (mixed bpl terminal right ) [*BLP12_r akira] #1137946,unk,True,False,True,False,True,R,19919566,1067,unk,BLP12,114,0,,18,11.0
16547287, (BAmv12 looper 3 left) [*BAmv12_dor_l akira] #16547287,unk,True,False,True,False,True,L,5167842,806,unk,BAmv12_dor,44,0,,2194,10.0
10683313, (BLP12 gripper 1 right; BLP12 a 6) [*BLP12_r akira] #10683313,unk,True,False,True,False,True,R,11717001,506,unk,BLP12,62,0,,1269,3.0
4393350, (AB right; Timo's Tel-like anterior cell body) [*DALv1_r akira] #4393350,unk,True,False,True,False,True,R,17360254,942,unk,DALv1,90,0,,393,3.0
19919566, (mixed bpl terminal left) [*BLP12_l akira] #19919566,unk,True,False,True,False,True,L,1137946,1067,unk,BLP12,70,0,,2747,2.0
