param_key,binarize,graph_type,res,seed,threshold,modularity,Parameters,MB-ARI,MB-roARI,MB-moARI,AL-ARI,AL-roARI,AL-moARI,MB-cls,AL-cls
DeannaMcCullough,True,G,0.8,28625327,0,0.5204510254825739,15,0.040526577059665045,0.17521025296387494,0.12047414721027154,0.001393798552130631,-0.006542995984533051,0.05417716477156,0.45051506189577295,0.17468046018473857
PuseyBennett,False,G,0.1,36699957,1,0.3161796691243173,16,0.0045210101481905855,0.13771484457929195,0.5484843694014766,0.0007801364499631546,0.014857069740178934,0.355788688209654,0.7748926755063117,0.6158280481851377
EliotNotre,True,G,0.1,91455111,1,0.3054462443945597,17,0.004630854961226237,0.08945917351838843,0.49051067215444394,0.00017264678147846146,0.024147679895412427,0.22888480352359006,0.7422113603048257,0.7091367231428587
JollaTenneco,False,G,0.2,29317673,1,0.4456575434480679,18,0.009554420245049046,0.13785863660300596,0.4060086759674395,0.0013655172094913534,0.07346724904991078,0.26080180589826346,0.7840865932861918,0.7351096882047394
RaymondCreole,True,G,0.2,69030306,1,0.41678240541272027,19,0.010360426807310455,0.12362582925148394,0.36808880862060506,-0.00035909095297468696,-0.0012527935289733804,0.14868522136185186,0.7467528699090272,0.4179470868394264
XerxesKelvin,False,G,0.3,38600607,1,0.4942036727522762,20,0.013148689593133906,0.190810783513249,0.31122215649467033,0.0016804598374445079,0.15928942971325435,0.25748671927115885,0.7724706007954207,0.6342995171257533
McIntoshAugean,True,G,0.3,3875507,1,0.4579146818772109,21,0.014757603801300971,0.2492015171453746,0.46195123788025594,-0.00031920145503890453,0.0022947423036004436,0.18137431291044004,0.80599579125949,0.37463873537652137
CarthageSalem,False,G,0.4,96027456,1,0.5162963354481572,22,0.018559714409792035,0.2832143464116177,0.34496168896974316,0.0016478049236603824,0.09393951885754427,0.31813228612459116,0.7997979722531692,0.4760056157403614
YoderScylla,True,G,0.4,48511680,1,0.4839956220739847,23,0.02143832312510343,0.3245797062778811,0.4665475265749743,4.8737142207967445e-05,-0.00764307621642458,0.14793223977406686,0.8149970653448209,0.31862303064731645
EuridyceSchneider,False,G,0.5,93121016,1,0.5377515415492097,24,0.02827721244105321,0.4091907702928404,0.4679772247478784,0.00283695832614329,0.049297708222540815,0.25114341969901616,0.7973378289744475,0.3799562937744413
IslamMcDougall,True,G,0.5,59702063,1,0.5115052145094109,25,0.030309930935310737,0.569946068083174,0.3659821762635356,-0.00041410810247023277,-0.01237318587670033,0.0991254370655476,0.807861659348694,0.22320511087468764
HeineHughes,False,G,0.6,41074314,1,0.5512556728953362,26,0.03690942424364063,0.5781682496036221,0.4845164674646912,0.004506038287679178,0.02592871694227704,0.23588522826570382,0.8086041544256544,0.3657466946852912
WeldonMuzak,True,G,0.6,19054524,1,0.5244807533940429,27,0.041674551956793905,0.8269236665020895,0.6593755341549583,0.00025269953304055104,-0.01010871322174913,0.07826216891166962,0.8333068516045036,0.19403871262566913
CamelotProf,False,G,0.7,54010058,1,0.5570642800185748,28,0.040780283568500254,0.8544199808751053,0.522143674722442,0.004443375888501615,-0.004243822145486592,0.14083845938073616,0.7952076955719709,0.30368450483358145
OceaniaBurlington,True,G,0.7,58848359,1,0.5345957942188649,29,0.03606195071459703,0.23886664413880895,0.17771066948909855,0.0012408272617826354,-0.006013084976944051,0.06732104252438112,0.4537432869039886,0.19616183561093825
ExxonWiggins,False,G,0.8,93027241,1,0.5572709044641684,30,0.044393504485791505,0.8255953464109654,0.4867122458660421,0.005210525610395118,0.006098916608009531,0.13635999219332268,0.7691919655027037,0.3157949254577953
NegroesWadsworth,True,G,0.8,60334257,1,0.5421546603070106,31,0.041179882482513315,0.2281754910693109,0.16540673703305891,0.00010554584715971497,-0.008246487624126246,0.04891053755931094,0.45937199900600634,0.16547716982309463
BaylorHaiti,False,G,0.1,11801757,2,0.3371353659584266,32,0.00443552390080529,0.11550433988600403,0.5705374698650639,0.0007339750851193067,0.014105389603957479,0.3122611578744228,0.7515323422832155,0.5883647143711965
