,binarize,graph_type,param_key,res,seed,threshold,modularity
237,False,G,HeinzBosch,0.4,10976,1,0.5141920257725122
238,False,G,PearceGregg,0.4,5159079,2,0.5252639722273118
239,False,G,MontJacobson,0.4,88675000,3,0.5367954010280588
240,False,G,PlutoDjakarta,0.5,500342,0,0.5118158392738181
241,False,G,StegosaurusHess,0.5,74894672,1,0.5234165614108989
242,False,G,WhitehallFeeney,0.5,15388254,2,0.5360784092566041
243,False,G,AlexandriaChinaman,0.5,52194876,3,0.5508232710834329
244,False,G,MarcelStyrofoam,0.6,15818769,0,0.5294404097945937
245,False,G,OsgoodCamino,0.6,45111516,1,0.5421847049383235
246,False,G,BairdKronecker,0.6,96530527,2,0.5579816966440736
247,False,G,AzerbaijanBernardino,0.6,82018833,3,0.5600180365902533
248,False,G,HieronymusPeale,0.7,83425863,0,0.535594707314952
249,False,G,AnalectsMagellanic,0.7,90404964,1,0.552783463784932
250,False,G,OrvilleBahrein,0.7,37821379,2,0.5597919492762098
251,False,G,WolfgangJorgensen,0.7,34071304,3,0.5691728123353483
252,False,G,BlumLindquist,0.8,84001292,0,0.5425781042007134
253,False,G,EmilyZurich,0.8,2774074,1,0.553622966121752
254,False,G,RhodesDolores,0.8,16627595,2,0.5667326898727751
255,False,G,KnottIranian,0.8,42828941,3,0.5723759319191204
256,True,G,BenthamGina,0.1,51737482,0,0.26330807960874075
257,True,G,HaasLynchburg,0.1,12606877,1,0.30046647838897605
258,True,G,IngramSeattle,0.1,16398364,2,0.3201497222759547
259,True,G,HarrisEgyptian,0.1,71952038,3,0.3279251141993747
260,True,G,RaffertyThomson,0.2,10580209,0,0.38165793215208793
261,True,G,CeciliaKrause,0.2,65225393,1,0.39733714277480453
262,True,G,ThessalonianQuebec,0.2,8442113,2,0.40772635957769576
263,True,G,MinervaAdonis,0.2,68541618,3,0.42059596639263175
264,True,G,FannyLaban,0.3,34448796,0,0.41954661840490126
265,True,G,AustralisCherokee,0.3,92641507,1,0.4453794053120922
266,True,G,DurkinFourier,0.3,38681117,2,0.47734263343364947
267,True,G,WatsonSaxon,0.3,23651801,3,0.4738383180473898
268,True,G,PatriceTantalus,0.4,26918500,0,0.4417938445129729
269,True,G,IanCaucasus,0.4,36592105,1,0.4743681630770492
270,True,G,WichitaChandigarh,0.4,5504073,2,0.49456553214160964
271,True,G,ChurchillianKendall,0.4,86950462,3,0.5041660777292937
272,True,G,BartonKnauer,0.5,13623318,0,0.4765317869942688
273,True,G,IslamMcDougall,0.5,59702063,1,0.5115052145094109
274,True,G,NabiscoDarwin,0.5,18103848,2,0.5072298445621557
275,True,G,MackeySony,0.5,58296971,3,0.5197701320831197
276,True,G,ElsinoreJones,0.6,16224019,0,0.508701871447766
277,True,G,TrobriandCupid,0.6,9675072,1,0.5230721408556993
278,True,G,AustralisChou,0.6,81371021,2,0.5222745049891737
279,True,G,JoannaSalesian,0.6,76538530,3,0.5327283446383237
280,True,G,MiddletownRichter,0.7,95161364,0,0.511872544974393
281,True,G,SelenaBosch,0.7,95480655,1,0.5302292001761977
282,True,G,HispanicAristotelean,0.7,53451391,2,0.5368862526699271
283,True,G,SybilFomalhaut,0.7,14628152,3,0.5412947946355896
284,True,G,HornblowerRudy,0.8,84583783,0,0.5089962809445472
285,True,G,NegroesWadsworth,0.8,60334257,1,0.5421546603070106
286,True,G,WyethRamo,0.8,20822963,2,0.5414672430651546
287,True,G,TelAden,0.8,56568340,3,0.5510975973471077
288,False,G,AntillesPitt,0.1,17512579,0,0.29330411519766897
289,False,G,SnyderGoldstein,0.1,95738952,1,0.31408593601600737
290,False,G,ParisSchweitzer,0.1,94734540,2,0.32912638715008785
291,False,G,GraysonMephistopheles,0.1,18080948,3,0.33864877877552063
292,False,G,SternbergWendy,0.2,90701819,0,0.4297116578850269
293,False,G,EisenhowerKernighan,0.2,52431347,1,0.4311496591160298
294,False,G,OlivierOslo,0.2,61804030,2,0.4477533362347118
295,False,G,HowellMohawk,0.2,3602290,3,0.46464157151001134
296,False,G,PizarroFarber,0.3,33532127,0,0.4691279417004428
297,False,G,JoeLawson,0.3,92708863,1,0.4913369544190181
298,False,G,ReidEva,0.3,34002406,2,0.49738178588814347
299,False,G,AliDolan,0.3,21662073,3,0.5150511800408306
300,False,G,PackardBoise,0.4,24708082,0,0.4949216531181964
301,False,G,LuisIsaac,0.4,34868694,1,0.5051817937450662
302,False,G,StatenHaney,0.4,33793830,2,0.5211111283587021
303,False,G,SolAmtrak,0.4,42389456,3,0.537156103889799
304,False,G,CanberraEuler,0.5,23999545,0,0.5136548223067874
305,False,G,PelhamCallahan,0.5,31813918,1,0.5304535096073284
306,False,G,LouisianaTacitus,0.5,8435248,2,0.5427985567989553
307,False,G,WilliamSevern,0.5,52856664,3,0.5527884594166323
308,False,G,CeltEpiscopalian,0.6,65850372,0,0.5286048705592682
309,False,G,RogerMoghul,0.6,7962099,1,0.5469203743018605
310,False,G,KabukiGuenther,0.6,75483284,2,0.5614178655740557
311,False,G,ChestertonRunnymede,0.6,41576234,3,0.5584242094234739
312,False,G,PompeiiGriffith,0.7,73206713,0,0.5460747019515408
313,False,G,GerhardIowa,0.7,73901421,1,0.5522450749245545
314,False,G,BaselHettie,0.7,51672626,2,0.5639977003006099
315,False,G,EuropeBulgaria,0.7,88138750,3,0.570919838451886
316,False,G,MelbourneBolton,0.8,38664137,0,0.5423848887514124
317,False,G,JulesAlpert,0.8,80385048,1,0.5542774008092081
318,False,G,HopkinsianTeresa,0.8,74413454,2,0.5652822091720572
319,False,G,GottfriedJew,0.8,16225472,3,0.5756639105011593
320,True,G,CarlBlomquist,0.1,8272134,0,0.26063339833916843
321,True,G,MicheleFairfax,0.1,96187919,1,0.3004111207428623
322,True,G,BrynWronskian,0.1,15690757,2,0.3124234042221586
323,True,G,BaltimoreanChalmers,0.1,57976924,3,0.3248270161470983
324,True,G,OrionElaine,0.2,89072511,0,0.37906407951474946
325,True,G,JesusJerusalem,0.2,37099664,1,0.3993593766831533
326,True,G,MarshaSproul,0.2,22568838,2,0.4108236070495742
327,True,G,DaughertySaul,0.2,49448365,3,0.42164952742962636
328,True,G,LaurieMargaret,0.3,19427036,0,0.42422563405432206
329,True,G,MoultonHartford,0.3,64714741,1,0.4534428146228342
330,True,G,AsilomarFrench,0.3,56968835,2,0.47403361968504437
331,True,G,ScottsdaleDalzell,0.3,12009795,3,0.4773016088989633
332,True,G,BaptisteDonner,0.4,76880666,0,0.4538965500096123
333,True,G,LorenzBrontosaurus,0.4,59235912,1,0.4752682438384017
334,True,G,TrukStyx,0.4,56692231,2,0.4875150416468581
335,True,G,AntonyLarson,0.4,79465541,3,0.5076181299556672
336,True,G,UlsterArabia,0.5,82831280,0,0.485119459111408
337,True,G,ErieShipley,0.5,63887643,1,0.5039231853416882
338,True,G,PeloponnesePortuguese,0.5,60470531,2,0.5111886416871698
339,True,G,HolmGhanian,0.5,62689955,3,0.5174714856406833
340,True,G,MississippiGoethe,0.6,71512308,0,0.5027010360046172
341,True,G,IndochineseHolmdel,0.6,353940,1,0.514972393657797
342,True,G,PoissonBurroughs,0.6,11602760,2,0.527673646670529
343,True,G,BourbakiKaufman,0.6,86520926,3,0.5384882210974854
344,True,G,TelexBalboa,0.7,9607651,0,0.5041544653802459
345,True,G,DelphinusZeiss,0.7,44540015,1,0.5265350394680435
346,True,G,HomTheseus,0.7,16925782,2,0.5241794534441964
347,True,G,AtchisonClytemnestra,0.7,34293830,3,0.541710433893325
348,True,G,CalvertEmanuel,0.8,9098102,0,0.51943891788475
349,True,G,RinehartDebby,0.8,28469410,1,0.5406249771000163
350,True,G,MasseyYokohama,0.8,53815864,2,0.5455388423885899
351,True,G,SikkimBunsen,0.8,31301038,3,0.5548796522670052
352,False,G,NordhoffRedstone,0.1,67937630,0,0.2926815012389055
353,False,G,BrindisiTyphon,0.1,30439295,1,0.3145664101703697
354,False,G,RocklandHelen,0.1,2542916,2,0.3340154040546264
355,False,G,BaldwinSophoclean,0.1,8050060,3,0.3414610215664369
356,False,G,CoriolanusNaples,0.2,76593611,0,0.42069098904435887
357,False,G,JewettChester,0.2,45242593,1,0.4305632393490754
358,False,G,NathanArmenia,0.2,93305620,2,0.44194474683616647
359,False,G,RuandaTioga,0.2,3269027,3,0.4614592039898748
360,False,G,MasseyErato,0.3,26537512,0,0.47424647811507464
361,False,G,SchroederWaldo,0.3,83529903,1,0.4911523880895114
362,False,G,ClaudiaSalem,0.3,86565046,2,0.5069977428823125
363,False,G,JungPickering,0.3,95197231,3,0.5213884921035845
364,False,G,ThruwayBlaine,0.4,94297627,0,0.4906100233435599
365,False,G,CenozoicDecatur,0.4,68710930,1,0.5132688465665395
366,False,G,EdmondsCossack,0.4,85136206,2,0.5232830823183079
367,False,G,MoinesWilkes,0.4,85742025,3,0.5331144960573203
368,False,G,MollieChristie,0.5,2508729,0,0.5167478094306749
369,False,G,ParamusReese,0.5,47105684,1,0.5305719731356426
370,False,G,AntonArcturus,0.5,41572515,2,0.5377206093766589
371,False,G,RoentgenCharon,0.5,70438034,3,0.545943713289798
372,False,G,TrobriandEskimo,0.6,94056495,0,0.5297487192386421
373,False,G,ArcadiaPlexiglas,0.6,1768864,1,0.5417572881778043
374,False,G,HershelScotia,0.6,86817510,2,0.5510542618852633
375,False,G,SiegmundRenault,0.6,9375306,3,0.5628769254946044
376,False,G,HepburnLeslie,0.7,26030260,0,0.5373749813397186
377,False,G,DomingoGoldberg,0.7,98493304,1,0.549515825794882
378,False,G,RunnymedeFrisian,0.7,54028248,2,0.5656899682643177
379,False,G,NietzschePusey,0.7,85133598,3,0.5671886497707985
380,False,G,MaeKeyes,0.8,24668989,0,0.5434781020983235
381,False,G,SpanishKenya,0.8,21986634,1,0.5550057873708419
382,False,G,JaimeYosemite,0.8,75955849,2,0.5671349892875243
383,False,G,NairJoanne,0.8,27603001,3,0.5711494516965556
384,True,G,StegosaurusLoire,0.1,7741721,0,0.2637945669169461
385,True,G,LowryIreland,0.1,98991092,1,0.30130381779892723
386,True,G,MercatorHertzog,0.1,46575327,2,0.31798760144053717
