,HessLyon,ScotsmenSpica,PeruvianFinnegan,SophieAlec,SchweitzerYonkers,MildredBritish,BobbieEdmonton,BelaAntilles,ScotiaThomistic,CarletonSutton,BrahmsianAchaean,HolmesDeneb,ClydeBalboa,CarruthersPeruvian,InterpolSanchez
2988292,40,38.0,9.0,15.0,26.0,36,36.0,35.0,28.0,7.0,43,34.0,32.0,18.0,2.0
3002410,41,33.0,4.0,26.0,25.0,37,32.0,31.0,25.0,23.0,44,4.0,27.0,25.0,6.0
3009700,34,36.0,8.0,7.0,7.0,38,9.0,25.0,6.0,5.0,45,10.0,31.0,8.0,12.0
3010486,17,39.0,16.0,27.0,5.0,39,19.0,33.0,28.0,20.0,46,30.0,33.0,26.0,21.0
3021609,13,15.0,14.0,14.0,11.0,7,13.0,14.0,4.0,24.0,13,15.0,11.0,7.0,11.0
3027876,33,40.0,34.0,28.0,27.0,40,31.0,36.0,29.0,25.0,47,35.0,26.0,27.0,22.0
3032520,4,,,,,0,,,,,5,,,,
3043970,42,34.0,35.0,29.0,28.0,41,37.0,37.0,30.0,26.0,19,36.0,34.0,28.0,23.0
3044500,43,17.0,25.0,30.0,29.0,40,18.0,38.0,31.0,8.0,18,7.0,17.0,29.0,21.0
3046503,20,14.0,0.0,0.0,0.0,4,5.0,5.0,0.0,0.0,15,3.0,0.0,0.0,0.0
3048606,34,36.0,7.0,6.0,6.0,38,9.0,25.0,6.0,5.0,45,10.0,7.0,8.0,12.0
3054101,4,14.0,3.0,3.0,3.0,3,15.0,3.0,3.0,2.0,15,2.0,3.0,3.0,3.0
3058132,9,8.0,8.0,6.0,6.0,9,10.0,8.0,6.0,5.0,9,9.0,6.0,28.0,5.0
3060480,23,36.0,19.0,19.0,9.0,23,22.0,2.0,2.0,7.0,24,20.0,18.0,18.0,8.0
3061422,23,22.0,31.0,27.0,5.0,42,34.0,34.0,28.0,5.0,38,37.0,30.0,22.0,12.0
3071301,20,6.0,36.0,13.0,21.0,43,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3122533,10,9.0,8.0,7.0,6.0,9,10.0,8.0,6.0,5.0,10,10.0,7.0,8.0,5.0
3123905,20,0.0,0.0,2.0,,5,0.0,3.0,20.0,,7,0.0,0.0,0.0,
3149791,33,40.0,25.0,25.0,8.0,44,31.0,26.0,26.0,21.0,48,38.0,13.0,7.0,23.0
3157405,0,0.0,17.0,17.0,2.0,6,20.0,17.0,14.0,12.0,0,17.0,15.0,5.0,0.0
3158085,44,0.0,17.0,0.0,0.0,6,20.0,0.0,0.0,0.0,39,17.0,35.0,5.0,0.0
3158123,19,19.0,17.0,17.0,2.0,19,20.0,17.0,14.0,12.0,20,17.0,15.0,5.0,0.0
3158543,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
3166745,10,9.0,8.0,7.0,5.0,9,10.0,8.0,6.0,4.0,10,10.0,7.0,8.0,5.0
3166836,34,21.0,19.0,6.0,5.0,38,22.0,25.0,27.0,4.0,49,31.0,31.0,24.0,19.0
3167039,39,37.0,19.0,7.0,5.0,35,35.0,34.0,6.0,4.0,40,37.0,30.0,22.0,5.0
3180681,9,8.0,8.0,7.0,7.0,8,10.0,8.0,6.0,5.0,9,9.0,6.0,8.0,5.0
3182103,10,9.0,8.0,7.0,7.0,9,10.0,8.0,6.0,5.0,10,10.0,7.0,8.0,5.0
3192952,4,,,,,0,,,,,5,,,,
3199456,20,6.0,36.0,13.0,21.0,43,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,3.0
3232277,39,41.0,31.0,4.0,24.0,46,8.0,7.0,28.0,20.0,28,39.0,29.0,22.0,4.0
3232808,46,41.0,6.0,4.0,24.0,47,8.0,7.0,4.0,20.0,50,39.0,5.0,26.0,4.0
3234817,47,42.0,37.0,31.0,30.0,48,38.0,39.0,32.0,27.0,51,40.0,36.0,30.0,24.0
3235409,39,37.0,31.0,27.0,5.0,35,35.0,34.0,28.0,4.0,40,37.0,30.0,22.0,5.0
3251140,9,8.0,8.0,7.0,6.0,8,9.0,8.0,6.0,5.0,9,10.0,6.0,8.0,5.0
3272218,45,22.0,31.0,27.0,7.0,45,34.0,34.0,6.0,5.0,38,37.0,30.0,22.0,5.0
3276003,44,0.0,17.0,0.0,0.0,6,20.0,0.0,0.0,0.0,0,17.0,35.0,5.0,0.0
