,HessLyon,ScotsmenSpica,PeruvianFinnegan,SophieAlec,SchweitzerYonkers,MildredBritish,BobbieEdmonton,BelaAntilles,ScotiaThomistic,CarletonSutton,BrahmsianAchaean,HolmesDeneb,ClydeBalboa,CarruthersPeruvian,InterpolSanchez
7198338,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
7227010,29,29.0,25.0,30.0,13.0,17,7.0,30.0,12.0,8.0,32,26.0,17.0,15.0,12.0
7283193,12,13.0,29.0,8.0,11.0,66,59.0,32.0,7.0,8.0,12,60.0,20.0,12.0,7.0
7331555,0,,,,,0,,,,,5,,,,
7335439,24,24.0,18.0,18.0,17.0,19,23.0,16.0,15.0,7.0,20,21.0,16.0,5.0,8.0
7338309,7,24.0,18.0,18.0,9.0,6,20.0,42.0,15.0,7.0,42,33.0,16.0,25.0,8.0
7371184,25,13.0,21.0,12.0,19.0,25,25.0,22.0,7.0,6.0,31,15.0,20.0,14.0,10.0
7388340,7,18.0,32.0,30.0,14.0,18,19.0,33.0,13.0,11.0,41,22.0,14.0,15.0,13.0
7394271,3,3.0,3.0,3.0,3.0,3,15.0,3.0,3.0,2.0,3,2.0,3.0,3.0,3.0
7421507,52,46.0,27.0,24.0,23.0,33,30.0,28.0,24.0,19.0,37,44.0,25.0,23.0,20.0
7422253,45,21.0,19.0,20.0,26.0,45,36.0,20.0,26.0,4.0,49,20.0,31.0,26.0,19.0
7422595,17,35.0,16.0,5.0,14.0,39,19.0,33.0,13.0,11.0,46,30.0,14.0,16.0,13.0
7424178,4,0.0,0.0,2.0,4.0,0,0.0,3.0,0.0,3.0,5,0.0,0.0,0.0,5.0
7429933,45,21.0,19.0,6.0,26.0,45,22.0,20.0,26.0,21.0,49,20.0,31.0,22.0,19.0
7431625,52,46.0,27.0,24.0,23.0,33,30.0,28.0,28.0,19.0,37,44.0,25.0,23.0,20.0
7439909,0,,,,,0,,,,,5,,,,
7439913,12,11.0,10.0,8.0,10.0,11,59.0,12.0,7.0,6.0,12,60.0,20.0,7.0,7.0
7449767,34,8.0,7.0,6.0,,38,9.0,2.0,2.0,,45,9.0,6.0,18.0,
7467027,45,21.0,19.0,27.0,5.0,45,22.0,20.0,26.0,4.0,49,20.0,31.0,22.0,19.0
7476468,0,5.0,25.0,,,44,0.0,5.0,,,15,0.0,40.0,,
7480731,2,2.0,2.0,2.0,0.0,2,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
7483922,2,2.0,2.0,2.0,0.0,2,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
7485368,2,4.0,4.0,4.0,0.0,2,4.0,4.0,4.0,3.0,4,4.0,2.0,4.0,4.0
7503199,54,47.0,39.0,33.0,31.0,37,40.0,40.0,5.0,29.0,58,45.0,39.0,32.0,26.0
7515491,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
7527710,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
7529574,0,60.0,0.0,,,44,0.0,0.0,,,15,0.0,40.0,,
7530253,0,5.0,0.0,0.0,29.0,44,0.0,5.0,34.0,0.0,0,0.0,13.0,7.0,16.0
7540581,63,53.0,44.0,12.0,33.0,14,50.0,13.0,39.0,16.0,67,47.0,49.0,21.0,16.0
7542938,3,3.0,3.0,3.0,3.0,3,15.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
7555204,2,4.0,4.0,4.0,2.0,2,4.0,4.0,4.0,3.0,4,4.0,2.0,4.0,6.0
7555968,35,26.0,4.0,4.0,15.0,27,4.0,4.0,4.0,3.0,28,4.0,2.0,4.0,4.0
7556564,4,14.0,3.0,2.0,9.0,0,15.0,3.0,2.0,7.0,5,2.0,3.0,9.0,8.0
7557604,0,0.0,17.0,0.0,0.0,6,20.0,0.0,0.0,0.0,0,17.0,0.0,5.0,0.0
7563413,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
7566199,2,4.0,4.0,4.0,2.0,2,4.0,4.0,4.0,3.0,4,4.0,2.0,4.0,6.0
7568455,2,4.0,4.0,4.0,0.0,2,4.0,4.0,4.0,3.0,4,4.0,2.0,4.0,4.0
7569260,44,22.0,17.0,27.0,5.0,34,34.0,33.0,28.0,22.0,38,37.0,15.0,22.0,6.0
7571966,5,5.0,5.0,2.0,15.0,0,0.0,0.0,0.0,3.0,5,0.0,0.0,6.0,0.0
7573476,29,29.0,25.0,6.0,5.0,17,7.0,30.0,26.0,4.0,32,26.0,17.0,24.0,5.0
7574701,28,28.0,42.0,10.0,4.0,28,28.0,24.0,37.0,6.0,30,25.0,23.0,10.0,7.0
7582412,22,2.0,2.0,2.0,9.0,22,2.0,19.0,2.0,7.0,23,19.0,2.0,2.0,8.0
7582489,24,23.0,20.0,21.0,17.0,24,23.0,21.0,17.0,14.0,25,21.0,19.0,19.0,15.0
7587948,29,29.0,19.0,20.0,24.0,17,18.0,35.0,28.0,5.0,32,26.0,17.0,41.0,5.0
7589765,44,35.0,31.0,26.0,25.0,33,35.0,27.0,27.0,22.0,37,44.0,27.0,26.0,6.0
7590264,30,7.0,11.0,,,7,13.0,11.0,,,8,13.0,24.0,,
7594047,26,25.0,22.0,22.0,20.0,26,26.0,23.0,35.0,16.0,27,23.0,21.0,20.0,16.0
7600311,41,48.0,40.0,34.0,31.0,5,40.0,41.0,5.0,29.0,44,45.0,39.0,32.0,17.0
7612147,31,31.0,26.0,16.0,42.0,30,63.0,55.0,47.0,24.0,34,27.0,50.0,43.0,27.0
7616956,47,55.0,47.0,31.0,30.0,48,38.0,50.0,32.0,27.0,51,40.0,36.0,30.0,24.0
7627878,29,,,,,17,,,,,5,,,,
7658146,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
7688300,52,46.0,27.0,24.0,23.0,33,30.0,28.0,24.0,19.0,37,44.0,25.0,23.0,20.0
7690945,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
7692008,17,35.0,16.0,5.0,23.0,39,19.0,33.0,25.0,11.0,39,30.0,14.0,25.0,6.0
7694589,2,2.0,2.0,2.0,0.0,2,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
7700444,61,12.0,12.0,10.0,33.0,62,14.0,12.0,37.0,15.0,14,14.0,44.0,12.0,7.0
7719118,34,36.0,7.0,6.0,7.0,38,33.0,25.0,26.0,21.0,45,31.0,6.0,24.0,19.0
7719547,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
7778722,2,4.0,4.0,4.0,0.0,2,4.0,4.0,4.0,3.0,4,4.0,2.0,4.0,4.0
7786053,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
7802210,48,43.0,38.0,32.0,37.0,49,3.0,39.0,33.0,28.0,52,41.0,37.0,31.0,25.0
7807684,73,32.0,35.0,29.0,28.0,41,37.0,37.0,30.0,26.0,60,36.0,34.0,28.0,23.0
7828725,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
7829784,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
7838405,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
7840203,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
7840791,47,55.0,47.0,31.0,30.0,48,38.0,50.0,32.0,27.0,51,40.0,36.0,30.0,24.0
7843730,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
7845346,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
7851153,50,44.0,24.0,3.0,22.0,50,39.0,6.0,21.0,2.0,53,42.0,38.0,9.0,18.0
7852250,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
7864823,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
7865652,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
7865696,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
7865767,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
7868195,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
7873135,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
7874184,35,26.0,4.0,4.0,0.0,27,4.0,4.0,4.0,3.0,28,4.0,2.0,4.0,6.0
7891312,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
7897051,2,4.0,4.0,4.0,0.0,27,4.0,4.0,4.0,3.0,28,4.0,2.0,4.0,6.0
7897469,47,55.0,47.0,31.0,30.0,48,38.0,50.0,32.0,27.0,51,40.0,36.0,30.0,24.0
7901791,26,25.0,22.0,22.0,20.0,26,26.0,23.0,19.0,16.0,27,23.0,21.0,20.0,16.0
7910624,74,66.0,50.0,39.0,38.0,69,64.0,51.0,43.0,34.0,78,64.0,51.0,38.0,31.0
7916593,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
7939890,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,8.0,9.0,18.0
7939979,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,8.0,9.0,18.0
7941642,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,8.0,9.0,18.0
7941652,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,8.0,9.0,18.0
7952981,22,2.0,2.0,2.0,15.0,20,2.0,19.0,2.0,18.0,21,18.0,2.0,2.0,2.0
7955278,15,,,,,15,,,,,16,,,,
7962986,52,46.0,27.0,5.0,23.0,33,30.0,28.0,24.0,19.0,37,44.0,25.0,23.0,20.0
7971031,36,33.0,4.0,26.0,25.0,32,32.0,31.0,25.0,22.0,36,4.0,27.0,25.0,6.0
7977834,52,46.0,27.0,24.0,23.0,33,30.0,28.0,24.0,19.0,37,44.0,25.0,23.0,20.0
7980189,62,54.0,45.0,36.0,34.0,59,49.0,46.0,40.0,30.0,63,49.0,45.0,35.0,29.0
7980369,62,59.0,53.0,40.0,34.0,59,49.0,52.0,40.0,30.0,63,49.0,45.0,35.0,29.0
7982307,8,7.0,11.0,14.0,11.0,7,13.0,11.0,9.0,8.0,8,13.0,13.0,7.0,27.0
7982324,29,29.0,25.0,30.0,5.0,17,7.0,30.0,12.0,8.0,32,26.0,17.0,15.0,12.0
7982896,75,31.0,26.0,38.0,16.0,2,63.0,55.0,13.0,14.0,34,27.0,50.0,19.0,2.0
7983899,74,66.0,50.0,39.0,38.0,69,64.0,51.0,43.0,34.0,78,64.0,51.0,38.0,31.0
8005609,0,,,,,0,,,,,5,,,,
8012953,50,45.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
8019816,65,56.0,44.0,12.0,33.0,63,53.0,13.0,45.0,9.0,67,47.0,46.0,40.0,16.0
8021456,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
8025665,14,12.0,12.0,11.0,10.0,13,14.0,12.0,10.0,9.0,14,14.0,9.0,12.0,10.0
8034919,52,19.0,20.0,21.0,23.0,33,24.0,21.0,47.0,19.0,37,44.0,19.0,23.0,20.0
8037197,49,2.0,49.0,38.0,16.0,20,11.0,9.0,8.0,7.0,21,11.0,16.0,18.0,2.0
8047280,18,29.0,19.0,20.0,17.0,17,18.0,2.0,2.0,7.0,32,26.0,18.0,18.0,8.0
8052161,12,53.0,10.0,8.0,19.0,14,12.0,13.0,10.0,9.0,12,47.0,46.0,12.0,10.0
8055671,4,14.0,3.0,2.0,4.0,3,15.0,3.0,2.0,2.0,3,2.0,3.0,13.0,8.0
8065380,39,37.0,31.0,27.0,24.0,35,35.0,34.0,28.0,4.0,40,37.0,30.0,22.0,6.0
8065771,40,38.0,19.0,15.0,26.0,78,36.0,35.0,28.0,4.0,50,34.0,32.0,26.0,12.0
8066411,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,4.0,1.0
8066542,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
8068173,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
8069365,42,34.0,6.0,14.0,18.0,47,16.0,37.0,4.0,20.0,33,50.0,5.0,26.0,11.0
8069432,35,26.0,6.0,4.0,24.0,27,43.0,7.0,27.0,20.0,28,51.0,39.0,4.0,4.0
8069478,59,41.0,30.0,4.0,24.0,57,46.0,7.0,27.0,22.0,29,39.0,29.0,33.0,4.0
8070872,15,15.0,14.0,14.0,18.0,15,16.0,14.0,4.0,20.0,16,15.0,11.0,26.0,9.0
8075484,53,54.0,45.0,36.0,34.0,52,49.0,46.0,40.0,30.0,56,49.0,45.0,35.0,29.0
8078096,74,66.0,20.0,21.0,17.0,69,64.0,21.0,17.0,14.0,78,64.0,19.0,19.0,15.0
8094859,64,55.0,47.0,31.0,30.0,65,52.0,50.0,33.0,27.0,68,56.0,36.0,30.0,24.0
8102935,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,8.0,9.0,18.0
8111135,2,2.0,2.0,2.0,15.0,20,2.0,2.0,2.0,18.0,21,18.0,2.0,2.0,2.0
8118474,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
8118929,2,2.0,2.0,2.0,15.0,20,2.0,2.0,2.0,18.0,21,18.0,2.0,2.0,2.0
8118947,72,64.0,54.0,42.0,41.0,74,61.0,43.0,46.0,35.0,76,63.0,54.0,42.0,32.0
8124177,35,26.0,4.0,4.0,15.0,27,4.0,4.0,6.0,3.0,28,4.0,2.0,4.0,4.0
8127390,46,61.0,21.0,16.0,11.0,7,13.0,14.0,23.0,24.0,8,62.0,24.0,7.0,11.0
8132513,63,53.0,44.0,12.0,33.0,60,50.0,13.0,39.0,9.0,67,47.0,49.0,21.0,16.0
8138616,36,33.0,4.0,26.0,25.0,32,32.0,31.0,25.0,22.0,36,4.0,27.0,25.0,6.0
8140109,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8142831,15,15.0,14.0,14.0,18.0,15,16.0,14.0,4.0,10.0,16,15.0,11.0,14.0,11.0
8154054,4,5.0,0.0,2.0,4.0,0,0.0,3.0,0.0,3.0,5,0.0,0.0,6.0,5.0
8159396,6,6.0,23.0,13.0,31.0,5,6.0,18.0,20.0,29.0,7,6.0,22.0,13.0,26.0
8161142,28,28.0,42.0,23.0,4.0,28,28.0,24.0,44.0,6.0,30,25.0,53.0,40.0,7.0
8161148,28,63.0,52.0,23.0,39.0,76,60.0,10.0,44.0,15.0,30,61.0,53.0,40.0,7.0
8167696,23,36.0,19.0,7.0,7.0,23,33.0,20.0,6.0,5.0,24,31.0,31.0,8.0,5.0
8177199,75,31.0,26.0,4.0,16.0,2,63.0,55.0,13.0,20.0,34,27.0,50.0,19.0,2.0
8177991,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
8184598,40,62.0,36.0,41.0,13.0,70,47.0,44.0,36.0,8.0,79,48.0,43.0,26.0,12.0
8198238,41,47.0,40.0,34.0,31.0,5,40.0,41.0,5.0,29.0,44,45.0,39.0,32.0,17.0
8198317,41,47.0,40.0,34.0,31.0,5,40.0,41.0,5.0,29.0,44,45.0,39.0,32.0,17.0
8198416,41,48.0,40.0,34.0,31.0,5,40.0,41.0,5.0,29.0,44,45.0,39.0,32.0,17.0
8198513,41,48.0,40.0,34.0,31.0,5,40.0,41.0,5.0,29.0,44,45.0,39.0,32.0,17.0
8199671,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
8203947,42,34.0,49.0,38.0,18.0,68,11.0,9.0,8.0,7.0,43,50.0,32.0,18.0,2.0
8216541,4,,,,,0,,,,,5,,,,
8227502,6,6.0,23.0,33.0,31.0,5,6.0,18.0,5.0,29.0,7,6.0,22.0,13.0,26.0
8229118,9,8.0,7.0,7.0,6.0,8,9.0,8.0,6.0,21.0,9,9.0,6.0,8.0,19.0
8231264,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
8238322,27,27.0,49.0,38.0,16.0,68,21.0,9.0,8.0,7.0,54,24.0,16.0,18.0,2.0
8243455,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8244723,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8244823,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8245014,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8245146,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8245513,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8245692,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8245869,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8246081,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8246750,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8247451,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8247641,2,26.0,4.0,4.0,0.0,27,4.0,4.0,4.0,3.0,28,4.0,2.0,4.0,6.0
8248631,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8248706,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
8252067,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8253413,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8253620,34,36.0,7.0,6.0,6.0,38,33.0,20.0,26.0,21.0,45,31.0,31.0,24.0,19.0
8254894,54,48.0,39.0,33.0,35.0,37,43.0,40.0,5.0,29.0,44,45.0,41.0,32.0,26.0
8256186,41,48.0,40.0,34.0,35.0,37,43.0,41.0,42.0,23.0,44,45.0,39.0,37.0,28.0
8260011,1,1.0,,,,1,1.0,,,,1,1.0,,,
8262302,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
8262372,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
8262503,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
8263140,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
8263285,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
8270683,35,26.0,4.0,4.0,15.0,27,4.0,4.0,4.0,3.0,28,4.0,2.0,4.0,4.0
8271034,2,4.0,4.0,4.0,15.0,2,4.0,4.0,4.0,3.0,28,4.0,2.0,4.0,6.0
8271875,65,56.0,15.0,10.0,39.0,63,53.0,13.0,45.0,33.0,67,57.0,10.0,11.0,7.0
8274021,3,3.0,3.0,3.0,3.0,3,15.0,3.0,3.0,2.0,3,2.0,3.0,3.0,3.0
8274902,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
8276782,11,10.0,24.0,9.0,22.0,10,27.0,6.0,21.0,18.0,11,18.0,8.0,9.0,18.0
8293958,50,2.0,2.0,2.0,9.0,50,2.0,19.0,2.0,7.0,53,11.0,2.0,2.0,8.0
8297018,47,55.0,47.0,31.0,30.0,48,38.0,50.0,32.0,27.0,51,40.0,36.0,30.0,24.0
8305958,52,46.0,27.0,24.0,23.0,33,30.0,28.0,24.0,19.0,37,44.0,25.0,23.0,20.0
8307514,52,46.0,27.0,24.0,23.0,33,30.0,28.0,24.0,19.0,37,44.0,25.0,23.0,20.0
8310087,31,31.0,26.0,24.0,42.0,30,63.0,55.0,47.0,24.0,34,27.0,50.0,43.0,27.0
8310955,52,46.0,27.0,24.0,23.0,33,30.0,28.0,24.0,19.0,37,44.0,25.0,23.0,20.0
8311264,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,8.0,9.0,18.0
8313802,10,9.0,8.0,7.0,7.0,9,10.0,8.0,6.0,5.0,10,10.0,7.0,8.0,5.0
8318678,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
8318813,62,52.0,44.0,15.0,10.0,60,51.0,48.0,39.0,9.0,63,55.0,45.0,36.0,2.0
8319311,17,35.0,16.0,27.0,32.0,39,36.0,33.0,36.0,13.0,46,30.0,14.0,26.0,14.0
8338584,48,43.0,38.0,32.0,37.0,49,3.0,39.0,43.0,28.0,52,41.0,37.0,31.0,25.0
8340950,49,2.0,49.0,38.0,15.0,20,11.0,2.0,8.0,18.0,21,11.0,2.0,2.0,2.0
8347613,23,22.0,9.0,20.0,5.0,23,21.0,20.0,16.0,4.0,24,19.0,18.0,18.0,8.0
8347720,23,36.0,25.0,20.0,7.0,23,22.0,2.0,2.0,17.0,24,20.0,18.0,8.0,5.0
8347907,69,60.0,51.0,6.0,26.0,73,58.0,45.0,34.0,10.0,71,38.0,52.0,39.0,12.0
8348277,23,22.0,18.0,6.0,,23,21.0,2.0,2.0,,24,20.0,16.0,8.0,
8349553,45,37.0,6.0,27.0,24.0,45,35.0,34.0,27.0,4.0,49,20.0,29.0,26.0,4.0
8357933,61,12.0,12.0,11.0,36.0,62,25.0,47.0,38.0,32.0,59,14.0,44.0,36.0,30.0
8370111,76,53.0,53.0,41.0,12.0,70,57.0,52.0,39.0,9.0,61,47.0,49.0,44.0,10.0
8391330,37,13.0,10.0,8.0,18.0,66,25.0,22.0,37.0,10.0,2,12.0,20.0,14.0,7.0
8393981,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
8399890,50,44.0,24.0,9.0,22.0,50,39.0,6.0,21.0,18.0,53,42.0,38.0,9.0,18.0
8410627,10,9.0,8.0,7.0,7.0,9,10.0,8.0,6.0,5.0,10,10.0,7.0,8.0,5.0
8412625,34,36.0,7.0,6.0,6.0,38,33.0,25.0,26.0,21.0,45,31.0,6.0,24.0,19.0
8413543,10,9.0,8.0,7.0,7.0,9,10.0,8.0,6.0,5.0,10,10.0,7.0,8.0,5.0
8413663,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
8419602,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
8423405,56,38.0,9.0,38.0,16.0,53,11.0,9.0,8.0,7.0,22,11.0,16.0,18.0,2.0
8427677,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
8447845,2,4.0,4.0,4.0,2.0,2,4.0,4.0,4.0,3.0,4,4.0,2.0,4.0,6.0
8451818,42,34.0,35.0,29.0,28.0,47,37.0,37.0,30.0,26.0,19,50.0,34.0,28.0,23.0
8461082,9,8.0,7.0,6.0,6.0,8,9.0,25.0,6.0,21.0,9,9.0,6.0,24.0,19.0
8469124,31,46.0,27.0,24.0,23.0,30,30.0,28.0,24.0,19.0,34,44.0,25.0,23.0,20.0
8471817,17,35.0,16.0,5.0,14.0,39,19.0,33.0,13.0,11.0,46,30.0,14.0,16.0,13.0
8480221,11,10.0,24.0,9.0,22.0,10,27.0,6.0,21.0,18.0,11,18.0,8.0,9.0,18.0
8480418,2,4.0,4.0,4.0,0.0,27,4.0,4.0,4.0,3.0,28,4.0,2.0,4.0,6.0
8496618,65,63.0,52.0,23.0,39.0,76,60.0,10.0,44.0,15.0,26,61.0,53.0,40.0,7.0
8504660,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
8509534,11,10.0,24.0,9.0,22.0,10,27.0,6.0,21.0,18.0,11,18.0,8.0,9.0,18.0
8509987,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
8513389,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
8529400,34,36.0,7.0,6.0,7.0,38,9.0,2.0,2.0,17.0,45,31.0,18.0,8.0,5.0
8539175,66,52.0,46.0,38.0,16.0,71,11.0,47.0,38.0,7.0,70,11.0,48.0,18.0,2.0
8540770,68,62.0,32.0,41.0,37.0,79,23.0,49.0,47.0,14.0,80,54.0,43.0,19.0,15.0
8542422,49,2.0,49.0,9.0,16.0,20,11.0,6.0,21.0,7.0,21,11.0,38.0,9.0,2.0
8544824,39,37.0,19.0,27.0,5.0,35,35.0,20.0,16.0,5.0,40,37.0,31.0,22.0,5.0
8546775,17,35.0,16.0,5.0,14.0,39,19.0,33.0,13.0,11.0,46,30.0,14.0,16.0,13.0
8559525,45,21.0,19.0,20.0,5.0,45,22.0,20.0,16.0,4.0,49,20.0,31.0,22.0,19.0
8559607,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
8565131,35,41.0,6.0,4.0,24.0,46,8.0,7.0,27.0,20.0,28,39.0,29.0,33.0,4.0
8566140,32,32.0,28.0,29.0,8.0,31,31.0,29.0,30.0,26.0,35,28.0,26.0,29.0,23.0
8571259,32,15.0,14.0,14.0,8.0,31,31.0,26.0,16.0,10.0,35,8.0,11.0,29.0,11.0
8572353,32,32.0,28.0,29.0,8.0,31,31.0,29.0,30.0,26.0,35,28.0,26.0,29.0,23.0
8582134,24,23.0,20.0,21.0,17.0,24,23.0,21.0,17.0,14.0,25,21.0,19.0,19.0,15.0
8592501,30,15.0,14.0,20.0,18.0,29,16.0,26.0,4.0,10.0,4,15.0,11.0,26.0,11.0
8598886,36,33.0,4.0,26.0,25.0,32,32.0,31.0,25.0,22.0,36,4.0,27.0,25.0,6.0
8639662,56,22.0,18.0,19.0,9.0,53,21.0,27.0,8.0,7.0,22,19.0,18.0,18.0,8.0
8640212,56,20.0,18.0,19.0,9.0,53,21.0,19.0,8.0,7.0,22,19.0,18.0,18.0,8.0
8641784,10,9.0,8.0,7.0,7.0,9,10.0,8.0,6.0,5.0,10,10.0,7.0,8.0,5.0
8670503,36,33.0,30.0,26.0,25.0,32,32.0,31.0,25.0,22.0,36,29.0,27.0,25.0,6.0
