inds,id,to_class,color,mean_visit,group_mean_visit
1792,15431408,unk,#acaac8,5.247464503042596,5.073270752241384
1793,15431795,unk,#acaac8,5.324480369515012,5.073270752241384
1794,15434200,sens-AN,#018700,,
1795,15445198,sens-AN,#018700,,
1796,15451084,sens-AN,#018700,,
1797,15458316,sens-AN,#018700,,
1798,15461769,sens-AN,#018700,,
1799,15467736,CX,#ffb500,4.833833833833834,5.282804659047286
1800,15468308,unk,#acaac8,4.304568527918781,5.073270752241384
1801,15474790,CN,#8c7700,4.780748663101604,3.911076065465079
1802,15478720,FFN,#ba6efd,5.292168674698795,4.720812604179587
1803,15480928,CN,#8c7700,4.001,3.911076065465079
1804,15481779,CX,#ffb500,3.949290060851927,5.282804659047286
1805,15488316,FB2N,#ff28fd,3.567703109327984,4.260739266600064
1806,15505837,sens-AN,#018700,,
1807,15506094,sens-AN,#018700,,
1808,15507888,sens-AN,#018700,,
1809,15508735,sens-AN,#018700,,
1810,15510288,FFN,#ba6efd,4.021,4.720812604179587
1811,15512404,CX,#ffb500,5.4420549581839905,5.282804659047286
1812,15512408,CX,#ffb500,5.576288659793814,5.282804659047286
1813,15513540,CX,#ffb500,5.50770811921891,5.282804659047286
1814,15514582,LHN2,#ebffd4,3.9855072463768115,3.8693873092001496
1815,15516413,CX,#ffb500,5.351351351351352,5.282804659047286
1816,15517247,LHN2,#ebffd4,4.629113924050633,3.8693873092001496
1817,15519213,O_dSEZ,#b1826d,4.322482197355035,4.546311427925615
1818,15522152,O_dVNC,#ff9070,3.8985943775100402,5.0983792703485715
1819,15522777,sens-AN,#018700,,
1820,15524629,CN2,#acaa59,4.637985309548793,4.523983781794462
1821,15525711,CX,#ffb500,6.146651270207852,5.282804659047286
1822,15525794,CX,#ffb500,5.756371049949031,5.282804659047286
1823,15525858,sens-AN,#018700,,
1824,15530882,sens-AN,#018700,,
1825,15531033,sens-AN,#018700,,
1826,15531916,sens-AN,#018700,,
1827,15532105,sens-AN,#018700,,
1828,15533421,sens-AN,#018700,,
1829,15539984,unk,#acaac8,5.154716981132076,5.073270752241384
1830,15541944,sens-AN,#018700,,
1831,15541971,LHN2,#ebffd4,4.361611876988335,3.8693873092001496
1832,15541976,sens-AN,#018700,,
1833,15542354,sens-AN,#018700,,
1834,15543068,sens-AN,#018700,,
1835,15543394,sens-AN,#018700,,
1836,15547235,unk,#acaac8,4.820921985815603,5.073270752241384
1837,15547732,sens-AN,#018700,,
1838,15548107,sens-AN,#018700,,
1839,15548694,sens-AN,#018700,,
1840,15548844,O_dVNC,#ff9070,4.179899497487437,5.0983792703485715
1841,15553218,unk,#acaac8,5.124022346368715,5.073270752241384
1842,15556081,sens-MN,#366962,,
1843,15556868,sens-MN,#366962,,
1844,15559195,sens-AN,#018700,,
1845,15560623,O_dVNC,#ff9070,4.761333333333333,5.0983792703485715
1846,15561413,sens-AN,#018700,,
1847,15562137,sens-AN,#018700,,
1848,15563553,sens-AN,#018700,,
1849,15564661,sens-AN,#018700,,
1850,15564706,sens-AN,#018700,,
1851,15564782,sens-AN,#018700,,
1852,15564882,sens-AN,#018700,,
1853,15564911,sens-AN,#018700,,
1854,15566333,CN,#8c7700,4.58792924037461,3.911076065465079
1855,15567384,motor-mAN,#000000,,6.466872827867986
1856,15567466,sens-AN,#018700,,
1857,15568134,LHN2,#ebffd4,3.8209876543209877,3.8693873092001496
1858,15568333,CN,#8c7700,4.2156469408224675,3.911076065465079
1859,15569561,sens-AN,#018700,,
1860,15571194,APL,#ff6200,4.0,3.883
1861,15573283,sens-AN,#018700,,
1862,15573331,sens-AN,#018700,,
1863,15573381,sens-AN,#018700,,
1864,15573396,sens-AN,#018700,,
1865,15573450,sens-AN,#018700,,
1866,15574199,sens-AN,#018700,,
1867,15574231,sens-AN,#018700,,
1868,15574328,sens-AN,#018700,,
1869,15574508,sens-AN,#018700,,
1870,15574941,sens-AN,#018700,,
1871,15575052,sens-AN,#018700,,
1872,15575232,sens-AN,#018700,,
1873,15575327,sens-AN,#018700,,
1874,15576194,sens-AN,#018700,,
1875,15576292,unk,#acaac8,4.451378809869376,5.073270752241384
1876,15577444,unk,#acaac8,4.693814432989691,5.073270752241384
1877,15585114,LHN2,#ebffd4,3.789237668161435,3.8693873092001496
1878,15586536,sens-AN,#018700,,
1879,15586914,unk,#acaac8,7.116402116402116,5.073270752241384
1880,15586949,unk,#acaac8,6.075187969924812,5.073270752241384
1881,15587166,sens-AN,#018700,,
1882,15587533,unk,#acaac8,6.341463414634147,5.073270752241384
1883,15588389,LHN,#d4e29e,3.751486325802616,3.51676920206973
1884,15588620,FBN,#c144bc,4.464,4.496600329225458
1885,15588691,sens-MN,#366962,,
1886,15588711,O_dVNC,#ff9070,5.486094316807739,5.0983792703485715
1887,15588800,sens-MN,#366962,,
1888,15589362,sens-MN,#366962,,
1889,15589411,sens-MN,#366962,,
1890,15589591,unk,#acaac8,4.0,5.073270752241384
1891,15589738,unk,#acaac8,4.720327421555252,5.073270752241384
1892,15590555,unk,#acaac8,5.170061099796334,5.073270752241384
1893,15590761,sens-AN,#018700,,
1894,15590793,LHN2,#ebffd4,4.0,3.8693873092001496
1895,15592096,MBIN-DAN,#db7e01,4.736240913811007,4.291259056016244
1896,15592696,sens-AN,#018700,,
